AOA,GJT
4,186
5,156
6,188
6,196
7,189
7,181
9,179
11,169
11,185
12,181
13,182
13,174
15,174
16,176
15,146
18,142
12,117
20,185
21,171
22,158
23,127
25,150
25,161
26,151
26,146
26,137
28,171
29,170
30,185
32,184
28,162
28,160
29,155
29,153
30,142
32,146
33,147
33,157
35,162
37,159
38,156
39,149
37,147
37,144
36,136
34,137
32,119
37,105
39,125
40,131
48,126
53,108
53,111
55,109
57,121
58,109
60,125
61,116
62,127
62,108
64,101
65,104
