"individual","year","sex","age","population","subspecies","v7","v8","v9","v10","v11","v12","v13","v14","v15","v16","v17","v18","v19","v20","v21","v22","v23","v24","v25","v26","v27","v28","v29","v30","v31","v32","v33","v34","v35","v36","v37","v38","v39","v40","v41","v42","v43","v44","v45","v46","v47","v48","v49","v50","v51","v52","v53","v54","v55","v56","v57","v58","v59","v60","v61","v62","v63","v64","v65","v66","v67","v68","v69","v70","v71","v72","v73","v74","v75","v76","v77","v78","v79","v80","v81","v82","v83","v84","v85","v86","v87","v88","v89","v90","v91","v93","v94","v95","v96","v97","v99","v100","v101","v102","v103","v104","v105","v106","v107","v108","v109","v110","v111","v112","v113","v114","v115","v116","v117","v118","v119","v120","v121","v122","v123","v124","v126","v127","v128","v129","v130","v131","v132","v133","v135","v136","v137","v138","v139","v140","v141","v142","v143","v144","v146","v147","v148","v149","v150","v151","v152","v153","v154","v155","v156","v157","v158","v159","v160","v161","v162","v164","grey_score_avg"
"Moe",2000,"M",7,"NIRC","verus",3,2,3,1,2,2,2,2,3,2,3,5,3,2,2,3,2,5,2,2,3,2,3,3,3,3,2,4,3,1,4,1,5,3,3,4,2,3,3,2,2,2,2,4,2,3,3,4,2,3,1,2,2,3,2,3,5,3,2,2,3,2,2,2,2,3,2,3,3,2,2,3,4,2,2,2,2,3,3,1,3,5,2,3,2,2,2,4,2,5,2,4,3,2,3,4,1,2,3,3,3,3,3,3,1,1,2,2,3,2,1,2,1,4,3,5,3,3,3,3,1,3,3,2,2,5,2,3,4,3,1,3,2,2,1,1,2,4,2,2,4,3,3,3,3,4,6,3,3,4,4,2,2.67105263157895
"Jaybird",2000,"M",5,"NIRC","verus",1,1,1,1,1,1,2,1,2,2,3,2,2,1,2,1,1,6,2,2,3,2,3,3,4,3,3,1,1,2,3,2,5,2,2,3,2,1,2,1,2,2,2,2,2,3,2,4,1,2,1,1,2,4,2,1,4,2,2,3,2,2,2,1,2,2,2,2,4,2,2,2,3,2,3,2,2,2,2,2,3,4,2,2,1,1,1,3,1,4,1,4,4,2,3,4,2,2,4,2,2,3,3,3,3,2,2,1,2,1,5,2,1,3,2,5,3,3,3,2,1,3,4,2,2,4,1,1,3,2,1,1,2,2,2,2,6,4,1,2,5,3,2,3,3,3,6,2,2,2,1,2,2.30921052631579
"Dapples",2000,"M",8,"NIRC","verus",2,1,1,1,1,2,2,1,5,2,3,2,2,2,2,2,2,4,3,2,3,2,3,3,4,2,3,3,2,3,3,4,4,3,2,4,2,3,2,1,2,2,2,1,2,2,3,3,1,2,2,2,2,3,2,4,5,4,2,4,1,2,3,2,2,3,2,2,3,2,2,2,3,2,2,2,2,2,3,2,2,3,2,2,1,1,3,3,1,4,1,2,3,3,3,4,1,2,5,2,2,2,3,3,3,2,2,1,3,2,2,1,1,3,3,5,3,4,2,4,1,3,5,2,1,5,3,1,3,2,1,4,2,2,2,1,6,5,3,2,4,2,2,3,3,3,5,2,2,3,1,2,2.48026315789474
"JohnnysMom",2001,"F",41,"NIRC","verus",1,2,2,1,1,1,3,1,3,1,3,2,2,1,1,1,2,1,1,2,6,1,1,2,4,1,1,2,1,1,2,3,4,2,2,1,2,1,4,1,2,2,2,1,1,1,1,3,1,1,1,2,2,4,2,1,4,1,2,1,2,2,2,2,2,3,2,2,2,1,1,3,3,2,3,2,2,2,2,1,3,4,1,2,2,1,1,1,5,3,1,3,1,1,3,2,2,2,1,2,2,3,2,3,1,2,1,2,2,1,6,2,1,4,2,3,1,2,2,1,2,1,1,2,3,2,1,1,2,2,2,1,2,2,1,1,1,1,4,3,3,3,2,3,2,1,5,2,2,2,3,4,1.98026315789474
"Mabel",2001,"F",1,"NIRC","verus",1,1,1,1,1,1,2,1,6,1,3,4,3,2,4,5,3,3,1,2,6,2,3,2,4,3,2,3,1,2,4,3,5,3,2,4,1,1,2,3,3,2,3,1,2,1,4,4,2,2,2,3,2,4,2,2,5,2,3,2,2,2,2,3,2,2,2,3,2,2,2,3,5,2,4,2,2,3,2,4,3,4,2,2,2,2,2,3,1,4,1,2,3,3,5,3,2,2,4,2,2,4,3,3,3,3,2,2,4,2,3,4,1,4,2,5,3,4,3,2,2,1,4,2,4,5,1,1,4,2,2,4,2,2,1,1,3,5,1,2,1,1,1,2,2,2,2,1,2,2,2,1,2.51973684210526
"Shaq",2001,"M",5,"NIRC","verus",3,1,2,1,1,2,2,1,1,1,3,3,2,1,2,3,2,3,2,2,6,2,2,2,4,2,2,2,2,3,2,2,3,2,2,4,1,2,3,1,2,2,2,2,2,2,2,4,3,3,1,2,1,5,2,2,3,3,2,4,1,3,1,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,4,2,3,2,2,1,2,2,3,4,2,2,2,4,3,2,4,2,2,3,1,2,3,2,2,3,2,2,2,2,3,4,3,2,6,2,3,3,2,2,3,2,2,4,2,1,3,2,2,3,2,2,4,2,2,2,2,3,4,1,3,3,2,2,2,1,3,2,2,3,2,2,2,2.32894736842105
"Twirp",2001,"M",1,"NIRC","verus",1,1,1,1,1,1,1,1,1,2,3,5,2,1,4,2,2,5,2,3,6,2,3,3,4,3,2,2,2,2,4,2,5,3,2,2,1,1,2,3,2,2,3,2,2,2,3,3,2,2,3,1,1,4,1,2,4,2,1,2,2,2,2,2,2,2,2,3,2,2,2,2,3,2,3,3,2,2,3,4,2,3,2,3,1,2,1,2,1,2,1,3,3,3,4,4,1,3,4,2,3,3,4,3,3,4,1,2,4,2,2,3,1,5,2,5,3,1,3,3,1,1,4,2,3,3,1,1,3,3,2,2,2,1,1,2,4,3,2,2,3,3,3,3,5,3,6,3,3,3,2,2,2.44078947368421
"Hayden",2001,"M",7,"NIRC","verus",3,1,2,1,1,2,2,1,5,3,3,3,1,2,4,5,2,5,3,3,6,4,3,2,5,3,2,1,2,4,2,1,4,2,3,2,1,3,4,4,2,2,2,1,2,2,1,4,1,3,2,2,2,5,2,2,5,1,2,3,2,2,2,2,1,4,2,3,2,2,2,3,4,2,2,2,2,3,2,5,2,3,3,3,1,2,1,3,3,3,2,3,2,3,4,3,2,2,4,2,2,2,3,4,2,3,3,2,3,3,4,3,1,6,2,6,3,4,3,1,2,5,3,2,2,5,2,2,4,2,2,4,2,1,2,3,2,4,3,2,4,2,2,2,4,3,6,1,2,2,2,2,2.64473684210526
"LittleJoe",2001,"M",6,"NIRC","verus",1,1,1,1,1,1,2,2,4,2,3,2,1,2,2,2,2,4,2,2,3,2,3,2,4,3,2,1,2,2,2,1,3,2,2,2,2,2,2,1,2,2,2,2,2,2,3,1,1,2,1,1,2,3,2,2,4,3,2,2,3,2,1,2,2,1,2,2,2,2,2,3,3,2,2,2,2,2,2,3,3,4,2,2,1,2,1,1,3,3,1,3,2,2,4,3,2,2,2,2,2,2,2,2,1,3,2,1,2,2,2,3,1,3,2,4,2,1,3,2,1,3,3,2,1,2,3,1,2,2,1,2,2,2,1,2,2,3,1,2,2,2,2,2,2,2,5,2,2,2,2,3,2.08552631578947
"Rachel",2001,"F",6,"NIRC","verus",1,1,1,1,1,2,2,1,3,3,3,4,3,3,2,3,2,5,3,2,3,1,3,2,4,2,3,1,2,4,3,1,5,3,2,4,2,2,3,1,3,2,2,3,2,2,3,4,2,4,1,3,2,5,2,2,5,3,2,3,2,2,1,2,1,1,3,3,2,2,2,2,4,2,2,3,2,2,3,5,2,5,2,3,1,1,2,3,3,2,2,2,2,2,4,3,2,1,4,3,2,3,3,2,3,2,2,2,2,3,3,3,2,3,2,5,3,3,3,2,3,2,4,2,4,2,2,3,4,2,2,4,1,2,4,2,3,5,4,2,1,3,3,2,2,2,6,1,2,2,2,2,2.53289473684211
"Cash",2005,"M",12,"NGOGO","schweinfurthii",2,1,2,3,5,3,1,2,3,3,3,2,2,3,3,5,1,3,3,2,6,2,2,4,2,3,3,1,2,3,2,1,3,3,2,4,2,4,3,3,2,1,2,3,2,3,3,3,2,4,3,3,3,2,3,1,2,4,2,3,1,2,2,3,2,4,2,2,4,2,2,2,3,2,1,3,3,3,3,4,1,1,3,2,1,2,2,3,2,1,3,2,3,2,1,4,2,2,6,3,2,4,3,3,3,2,3,2,2,2,4,5,2,2,3,4,2,3,1,2,2,3,4,1,3,3,3,2,4,2,4,3,1,1,6,2,1,3,4,4,2,1,2,6,2,2,3,6,3,2,1,1,2.59868421052632
"Corea",2005,"F",21,"NGOGO","schweinfurthii",4,3,4,4,4,5,2,3,4,4,3,2,4,1,5,5,2,4,3,3,6,4,3,3,5,4,4,3,3,2,4,2,5,5,3,4,4,5,4,4,4,3,3,3,4,4,4,4,4,3,5,4,5,5,5,4,4,5,4,4,3,4,4,4,5,5,3,4,4,3,2,4,5,4,3,4,4,5,4,4,3,5,5,4,2,3,3,4,2,4,3,4,4,4,4,5,2,3,3,4,4,5,5,4,3,4,5,4,3,4,3,4,5,4,4,6,3,4,3,3,4,3,5,3,3,5,4,3,5,4,4,4,3,3,4,3,3,4,1,4,1,5,3,4,4,3,5,3,5,3,2,2,3.73684210526316
"Brownface",2005,"M",39,"NGOGO","schweinfurthii",2,2,2,2,2,4,1,1,3,4,2,3,2,1,2,2,2,2,3,2,6,3,2,3,1,1,1,1,2,3,1,3,2,2,1,1,1,3,2,2,2,1,2,2,2,2,3,2,2,3,2,2,3,6,3,6,1,2,1,1,2,1,2,3,2,2,1,2,2,2,1,2,2,2,1,2,1,2,3,3,1,3,3,2,1,2,1,1,3,1,3,2,3,3,1,2,3,2,3,3,3,3,1,2,2,3,1,2,2,3,2,2,2,2,2,1,2,2,1,2,2,2,3,2,3,2,2,1,2,1,2,2,2,2,2,1,1,2,4,3,3,1,2,2,2,2,2,1,2,2,1,3,2.09210526315789
"Berg",2005,"M",27,"NGOGO","schweinfurthii",5,3,5,5,4,4,2,4,2,4,4,1,2,2,1,2,2,1,4,4,6,3,4,1,3,1,3,2,2,3,1,4,4,3,3,1,2,1,4,3,3,4,2,4,4,2,4,4,4,3,2,2,2,4,4,1,3,2,3,2,2,2,3,4,4,1,2,3,3,4,2,3,2,4,3,2,4,3,4,2,4,2,1,5,1,4,2,4,4,4,3,4,4,3,2,2,3,4,2,3,3,4,2,4,1,2,4,3,3,3,3,4,2,4,4,3,2,2,3,4,3,4,1,4,4,1,1,3,1,3,2,2,3,2,1,4,3,1,3,3,1,1,1,2,1,1,2,2,1,1,1,4,2.75657894736842
"Dexter",2005,"M",20,"NGOGO","schweinfurthii",2,2,4,3,3,4,2,3,4,2,4,2,4,2,5,3,1,2,4,3,6,2,3,2,4,2,3,2,2,3,3,3,4,2,4,2,2,4,4,3,2,2,2,4,1,3,4,3,3,2,3,3,3,5,3,2,4,3,3,2,3,2,1,3,3,5,2,3,3,2,2,4,4,2,1,2,2,3,3,4,2,3,3,3,1,3,1,4,4,2,3,2,3,2,3,3,2,2,4,2,2,4,3,3,2,3,2,2,2,2,3,4,2,3,3,3,2,2,2,2,2,3,4,3,5,2,2,2,3,2,2,2,2,2,3,3,2,3,2,2,3,4,4,2,3,2,5,2,3,2,3,2,2.75657894736842
"Dizzy",2005,"M",28,"NGOGO","schweinfurthii",4,3,3,3,1,1,1,3,2,1,1,1,2,1,1,2,1,1,3,2,6,2,2,1,2,1,1,1,2,1,1,2,2,1,1,1,1,1,3,2,3,3,2,1,1,1,2,1,1,1,1,2,2,3,1,2,2,1,2,1,1,1,1,1,3,2,2,1,2,1,1,2,1,1,1,1,1,1,2,3,1,2,1,1,1,1,1,1,5,1,1,2,2,1,1,2,1,1,1,3,1,2,1,2,1,1,2,1,1,3,2,3,1,2,1,4,1,3,1,3,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,2,2,3,3,2,5,3,3,2,2,4,1.70394736842105
"Hare",2005,"M",36,"NGOGO","schweinfurthii",3,2,3,2,1,2,2,2,5,6,3,2,1,1,1,2,2,1,1,2,6,3,2,3,3,2,2,2,1,1,2,2,3,3,2,1,2,1,3,1,2,2,2,1,2,1,6,4,2,2,2,2,2,4,2,2,5,2,2,2,3,2,2,2,3,3,2,2,3,2,2,3,3,2,3,2,2,3,2,2,3,3,1,2,2,2,3,3,5,3,2,3,1,3,3,3,2,2,2,2,1,4,3,3,1,3,4,2,2,3,2,3,2,4,2,3,1,3,3,2,2,1,1,2,2,3,1,1,1,2,2,1,2,2,1,2,1,1,1,1,1,1,1,5,1,1,3,1,3,2,1,4,2.24342105263158
"Herbie",2005,"M",11,"NGOGO","schweinfurthii",3,1,1,1,1,3,1,2,3,3,3,2,2,1,1,2,1,1,1,2,6,1,2,1,2,2,1,2,1,1,2,1,2,2,1,2,1,1,2,3,2,2,2,2,1,2,2,2,2,1,1,2,1,3,2,1,3,2,2,2,2,2,1,1,1,1,1,1,2,1,2,1,2,2,1,2,2,1,2,2,2,2,1,2,1,2,1,2,3,4,1,2,3,1,2,2,2,2,6,2,2,2,2,2,1,2,2,2,2,1,2,2,1,2,2,2,1,1,2,2,1,1,2,1,4,3,1,1,2,1,1,1,2,2,3,1,1,1,5,1,1,2,1,1,1,1,2,1,1,2,1,4,1.76973684210526
"Bartoll",2005,"F",22,"NGOGO","schweinfurthii",4,2,3,2,3,3,2,4,4,4,3,2,2,4,2,2,2,3,4,2,6,3,2,3,4,1,3,2,3,4,3,1,4,3,2,2,2,3,5,3,4,3,2,4,4,4,4,3,2,3,4,5,3,4,2,3,4,5,2,2,1,4,2,4,4,3,3,2,2,4,1,3,3,3,3,3,4,4,4,5,3,2,4,3,3,3,2,3,2,2,3,2,4,4,3,2,2,2,2,4,3,2,4,4,1,3,4,2,2,4,3,4,3,3,3,4,1,2,4,2,3,3,2,2,2,2,2,2,2,2,3,4,2,2,2,2,1,1,1,2,2,4,1,4,4,1,7,3,4,3,4,4,2.90131578947368
"Garbo",2005,"F",49,"NGOGO","schweinfurthii",3,3,4,3,2,3,3,3,6,1,3,3,1,1,1,2,1,3,2,2,6,2,2,1,3,1,2,1,1,2,2,2,2,1,2,1,2,2,1,2,2,1,2,2,1,2,1,2,1,3,1,1,2,2,1,2,3,1,2,1,2,1,1,1,3,2,1,2,3,1,2,2,2,2,1,2,1,2,2,3,2,1,1,2,1,2,1,2,3,3,1,2,3,1,2,3,1,1,1,1,2,1,2,2,1,1,1,1,2,2,1,2,2,2,2,5,1,3,2,1,1,1,1,1,5,3,1,1,1,1,1,1,1,2,2,1,6,1,1,4,3,2,2,2,3,2,2,4,2,2,2,4,1.92763157894737
"Miles",2005,"M",24,"NGOGO","schweinfurthii",4,3,4,2,1,3,2,2,2,1,3,3,1,1,2,2,1,4,1,2,2,2,3,1,3,2,1,1,1,1,1,1,4,1,2,2,2,1,5,6,2,2,2,1,2,2,2,3,1,2,1,1,2,3,2,1,4,3,1,2,6,2,2,1,2,3,2,2,2,1,2,2,2,2,1,4,2,1,2,2,2,3,1,2,1,2,1,2,1,3,2,2,2,2,3,3,1,1,1,4,2,2,2,3,1,1,1,1,2,2,5,1,1,2,2,1,1,2,2,3,1,1,1,1,4,3,1,1,2,2,2,1,1,1,2,1,2,1,1,2,4,4,2,4,3,3,6,3,2,3,3,4,2.07894736842105
"Monk",2005,"M",33,"NGOGO","schweinfurthii",3,3,3,3,2,3,1,3,1,1,3,4,1,2,2,2,1,5,1,3,1,2,3,2,2,2,1,1,1,1,1,1,2,1,2,2,1,1,4,1,3,1,1,1,2,2,1,4,1,4,1,1,3,2,4,1,3,2,1,2,1,2,2,1,2,1,2,2,2,1,2,2,3,2,2,1,2,2,2,5,2,2,1,1,1,1,1,2,2,3,1,1,2,2,2,3,1,2,2,2,2,1,2,3,1,1,1,1,1,2,2,2,1,3,2,2,1,3,3,2,2,2,1,1,2,2,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,2,1,3,3,1,2,1,4,1.81578947368421
"Ornette",2005,"M",28,"NGOGO","schweinfurthii",1,1,1,1,1,2,1,1,2,1,3,2,1,2,2,2,1,4,1,2,1,2,2,1,2,2,1,1,1,1,2,1,2,1,1,2,2,1,2,1,2,1,2,2,2,1,1,2,1,2,1,1,1,6,3,1,3,1,1,1,1,2,1,1,1,1,2,2,2,1,2,2,2,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,1,2,1,2,2,2,3,3,1,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,3,2,1,1,1,2,1,1,1,1,1,1,5,1,1,2,1,1,1,1,2,1,1,6,1,1,2,2,2,1,1,4,1,5,2,1,1,1,4,1.59868421052632
"Mweya",2005,"M",43,"NGOGO","schweinfurthii",5,3,4,2,2,4,3,3,4,3,3,4,1,1,2,3,2,4,1,3,3,5,4,2,3,3,4,1,3,3,2,1,5,2,3,2,2,2,5,1,3,2,2,2,2,3,1,4,3,3,1,3,4,2,3,2,5,3,2,3,6,2,2,3,4,3,3,2,3,2,2,2,4,2,2,2,2,4,4,2,3,3,2,3,1,3,3,4,2,3,2,3,4,3,3,4,2,2,2,3,6,2,3,3,3,3,2,2,2,3,3,1,2,4,2,5,2,2,3,3,2,3,3,2,3,4,2,2,3,2,2,3,2,2,4,2,6,2,4,4,1,1,1,1,1,1,2,1,1,1,1,3,2.66447368421053
"Parker",2005,"M",37,"NGOGO","schweinfurthii",4,5,5,3,3,4,5,4,1,3,3,3,3,3,2,3,2,5,3,5,5,4,3,6,5,4,5,1,3,4,4,1,4,1,4,2,4,4,5,2,5,4,3,4,4,4,1,3,3,3,4,5,5,3,5,3,4,4,3,3,6,4,3,4,5,4,4,4,2,3,5,2,4,3,3,3,4,4,4,5,3,5,2,5,2,5,4,5,3,4,4,5,5,3,5,4,2,4,3,4,4,3,4,4,2,3,4,4,4,4,1,4,3,4,4,4,2,4,5,3,2,3,3,2,2,5,3,3,5,4,3,5,3,4,4,3,3,3,4,4,4,3,2,2,2,2,5,2,2,2,1,4,3.51973684210526
"Rollins",2005,"M",19,"NGOGO","schweinfurthii",1,2,2,1,2,2,2,2,2,2,3,4,1,6,2,2,2,4,2,2,1,2,3,6,4,2,2,1,2,2,2,1,3,2,2,2,1,2,1,1,2,2,2,1,1,2,1,2,2,2,1,1,2,4,2,2,3,1,1,2,2,2,1,1,2,1,2,3,3,2,2,2,2,1,1,2,1,2,2,4,1,3,1,3,1,2,1,1,1,3,2,2,5,2,2,3,1,1,2,2,2,1,2,2,1,1,2,1,2,2,3,1,1,3,1,3,1,2,2,2,2,2,3,1,4,1,2,2,2,1,1,4,1,1,1,1,1,2,2,4,2,2,2,2,2,1,5,3,2,2,1,4,1.98684210526316
"Porkpie",2005,"M",11,"NGOGO","schweinfurthii",1,1,3,2,1,2,1,1,4,1,3,4,2,2,2,2,1,5,2,2,2,2,3,2,4,2,3,2,2,1,3,1,3,2,2,3,2,3,3,1,3,2,2,2,2,2,1,2,1,3,1,3,3,4,4,2,3,1,3,1,2,3,2,2,2,3,2,2,3,2,2,2,3,2,1,2,3,2,1,4,2,3,1,2,1,1,1,3,2,2,2,3,3,2,2,3,2,2,3,3,2,2,2,3,3,1,2,1,2,2,5,2,2,3,3,4,3,2,2,2,2,1,3,1,4,3,2,2,4,2,2,2,2,1,2,1,1,4,2,2,4,3,3,3,3,4,6,2,2,4,3,2,2.30921052631579
"Dahlia",2006,"F",13,"NGOGO","schweinfurthii",3,1,3,2,3,4,2,3,2,4,3,3,3,2,2,3,3,4,4,4,6,4,3,3,4,3,4,4,4,3,3,4,3,3,3,2,2,4,5,3,5,4,4,4,4,4,4,4,4,3,5,3,3,4,5,2,4,5,4,2,2,4,2,4,5,3,4,4,3,4,4,2,4,3,4,4,4,4,4,5,3,4,5,4,2,4,3,4,2,3,3,3,3,4,5,4,3,3,2,4,4,3,4,5,1,3,4,3,3,3,3,4,4,2,4,4,2,3,3,4,4,4,3,3,4,5,2,3,4,4,4,5,3,3,3,1,3,2,4,4,3,5,5,5,5,5,7,3,5,5,5,4,3.53289473684211
