SUBJECT,TYPE,POSTDATE,PLATFORM,CODE,POST,Followers,Followers_log10,LIKES,Likes_pkU,Likes_pkU_z,COMMENTS,Comments_pkU,Comments_pkU_z,SHARES,Shares_pkU,Shares_pkU_z,CLICK_THROUGHS,CTs_pkU,CTs_pkU_z,AVG_VISIT_DURATION,AVG_VISIT_DURATION_z,RETENTION_RATE,RETENTION_RATE_z
John Bell art,News,7-Nov-2014,Twitter,tN12T,https://twitter.com/CERN/status/530727380466552832,1040000,6.02,75.0,.07,-.35,3.0,.00,-.46,54.0,.05,-.46,117.0,.11,-.51,1.0,-.89,3.0,-0.29
bl4s (N20),News,4-Dec-2014,Google+,tN20Ga,https://plus.google.com/+CERN/posts/aMPFMjreBpk,12600,4.10,18.0,1.43,-.47,.0,.00,-.53,5.0,.40,-.22,5.0,.40,-.36,66.0,2.78,40.0,5.73
bl4s,News,17-Nov-2014,Twitter,tN13Tb,https://twitter.com/CERN/status/534347170825404416,1050000,6.02,,,,,,,,,,55.0,.05,-.81,8.0,-.14,7.0,1.77
The Port,News,18-Nov-2014,Twitter,tN14T,https://twitter.com/CERN/status/534721899176411137,1050000,6.02,51.0,.05,-.54,1.0,.00,-.65,53.0,.05,-.47,87.0,.08,-.66,.0,-.99,.0,-1.84
Courier reminisce,TBT,4-Dec-2014,Facebook,tT07F,https://www.facebook.com/cern/photos/a.173272186093468.45199.169005736520113/739270722826942/?type=1,366260,5.56,153.0,.42,-.43,6.0,.02,-.35,25.0,.07,-.37,4.0,.01,-.47,8.0,-.15,25.0,3.11
Beam tests,News,25-Nov-2014,Twitter,tN16T,https://twitter.com/CERN/status/537355767104684032,1050000,6.02,98.0,.09,-.18,2.0,.00,-.56,135.0,.13,-.11,352.0,.34,.61,12.0,.29,3.0,-0.29
bl4s,News,27-Nov-2014,Twitter,tN17Ta,https://twitter.com/CERN/status/537976983402344448,1050000,6.02,35.0,.03,-.66,3.0,.00,-.46,34.0,.03,-.55,30.0,.03,-.93,2.0,-.78,3.0,-0.29
bl4s,News,27-Nov-2014,Twitter,tN17Tb,https://twitter.com/CERN/status/537976983402344448,1050000,6.02,,,,,,,,,,8.0,.01,-1.04,.0,-.99,.0,-1.84
Dec Courier,News,27-Nov-2014,Twitter,tN18Ta,https://twitter.com/CERN/status/538016769173372928,1050000,6.02,58.0,.06,-.48,1.0,.00,-.65,55.0,.05,-.46,149.0,.14,-.36,8.0,-.14,3.0,-0.29
Dec Courier,News,27-Nov-2014,Twitter,tN18Tb,https://twitter.com/CERN/status/538016769173372928,1050000,6.02,,,,,,,,,,106.0,.10,-.57,1.0,-.89,4.0,0.22
