SUBJECT,TYPE,POSTDATE,PLATFORM,CODE,POST,Followers,Followers_log10,LIKES,Likes_pkU,Likes_pkU_z,COMMENTS,Comments_pkU,Comments_pkU_z,SHARES,Shares_pkU,Shares_pkU_z,CLICK_THROUGHS,CTs_pkU,CTs_pkU_z,AVG_VISIT_DURATION,AVG_VISIT_DURATION_z,RETENTION_RATE,RETENTION_RATE_z
bl4s,News,27-Nov-2014,Facebook,tN17Fb,https://www.facebook.com/cern/photos/a.173272186093468.45199.169005736520113/735949836492364/?type=1,363593,5.56,,,,,,,,,,10.0,.03,-.44,1.0,-.31,10.0,0.81
Dec Courier,News,27-Nov-2014,Facebook,tN18Fa,https://www.facebook.com/cern/photos/a.173272186093468.45199.169005736520113/736027116484636/?type=1,363593,5.56,397.0,1.09,-.06,9.0,.02,-.30,82.0,.23,.12,75.0,.21,-.10,3.0,-.26,3.0,-0.26
Dec Courier,News,27-Nov-2014,Facebook,tN18Fb,https://www.facebook.com/cern/photos/a.173272186093468.45199.169005736520113/736027116484636/?type=1,363593,5.56,,,,,,,,,,81.0,.22,-.06,17.0,.05,5.0,0.05
bl4s,News,2-Dec-2014,Facebook,tN19Fa,https://www.facebook.com/cern/posts/738402402913774,365303,5.56,92.0,.25,-.52,4.0,.01,-.38,14.0,.04,-.46,12.0,.03,-.43,.0,-.33,.0,-0.72
bl4s,News,2-Dec-2014,Facebook,tN19Fb,https://www.facebook.com/cern/posts/738402402913774,365303,5.56,,,,,,,,,,28.0,.08,-.35,21.0,.14,4.0,-0.10
bl4s,News,4-Dec-2014,Facebook,tN20Fa,https://www.facebook.com/cern/posts/739262719494409,366260,5.56,100.0,.27,-.51,3.0,.01,-.40,22.0,.06,-.40,11.0,.03,-.44,13.0,-.04,9.0,0.66
bl4s,News,4-Dec-2014,Facebook,tN20Fb,https://www.facebook.com/cern/posts/739262719494409,366260,5.56,,,,,,,,,,63.0,.17,-.16,32.0,.39,13.0,1.27
Ribbon,News,8-Dec-2014,Facebook,tN21F,https://www.facebook.com/cern/photos/a.173272186093468.45199.169005736520113/741314745955873/?type=1,367397,5.57,763.0,2.08,.47,33.0,.09,.07,97.0,.26,.24,76.0,.21,-.09,17.0,.05,5.0,0.05
IdeaSquare,News,9-Dec-2014,Facebook,tN22F,https://www.facebook.com/cern/photos/a.173272186093468.45199.169005736520113/741854219235259/?type=1,367671,5.57,214.0,.58,-.34,10.0,.03,-.29,29.0,.08,-.34,48.0,.13,-.24,.0,-.33,.0,-0.72
Magnets,News,9-Dec-2014,Facebook,tN23F,https://www.facebook.com/cern/photos/a.173272186093468.45199.169005736520113/742000089220672/?type=1,367671,5.57,502.0,1.37,.08,24.0,.07,-.07,62.0,.17,-.06,58.0,.16,-.19,12.0,-.06,7.0,0.35
PS bubble,TBT,23-Oct-2014,Facebook,tT01F,https://www.facebook.com/cern/photos/a.173272186093468.45199.169005736520113/719027491517932/?type=1,344829,5.54,274.0,.79,-.22,4.0,.01,-.38,28.0,.08,-.33,16.0,.05,-.41,.0,-.33,.0,-0.72
Wire-weaving,TBT,30-Oct-2014,Facebook,tT02F,https://www.facebook.com/cern/photos/a.173272186093468.45199.169005736520113/722224824531532/?type=1,348585,5.54,156.0,.45,-.41,5.0,.01,-.36,5.0,.01,-.54,10.0,.03,-.44,.0,-.33,.0,-0.72
BEBC pipe,TBT,6-Nov-2014,Facebook,tT03F,https://www.facebook.com/cern/photos/a.173272186093468.45199.169005736520113/725664947520853/?type=1,352175,5.55,148.0,.42,-.43,17.0,.05,-.17,8.0,.02,-.51,77.0,.22,-.07,.0,-.33,.0,-0.72
Control rooms,TBT,13-Nov-2014,Facebook,tT04F,https://www.facebook.com/cern/photos/a.173272186093468.45199.169005736520113/729192710501410/?type=1,356485,5.55,469.0,1.32,.06,7.0,.02,-.33,52.0,.15,-.13,20.0,.06,-.39,1.0,-.31,5.0,0.05
1st computer,TBT,20-Nov-2014,Facebook,tT05Fa,https://www.facebook.com/cern/photos/a.173272186093468.45199.169005736520113/732647460155935/?type=1,360872,5.56,194.0,.54,-.36,5.0,.01,-.37,14.0,.04,-.46,14.0,.04,-.42,.0,-.33,.0,-0.72
Halloween,News,31-Oct-2014,Twitter,tN08T,https://twitter.com/CERN/status/528193966932779009,1040000,6.02,65.0,.06,-.43,5.0,.00,-.27,74.0,.07,-.38,299.0,.29,.37,38.0,3.08,8.0,2.29
Power,TBT,27-Nov-2014,Facebook,tT06F,https://www.facebook.com/cern/photos/a.173272186093468.45199.169005736520113/736033919817289/?type=1,363593,5.56,136.0,.37,-.45,7.0,.02,-.34,13.0,.04,-.47,15.0,.04,-.42,.0,-.33,.0,-0.72
ISR archive pic,GWII,3-Nov-2014,Google+,tG03Ga,https://plus.google.com/+CERN/posts/gxydFCou9Rf,107000,5.03,29.0,.27,-.68,.0,.00,-.53,1.0,.01,-.45,19.0,.18,-.43,15.0,.27,16.0,1.96
SPS Tank,TBT,11-Dec-2014,Facebook,tT08F,https://www.facebook.com/cern/photos/a.173272186093468.45199.169005736520113/743005672453447/?type=1,368169,5.57,268.0,.73,-.26,5.0,.01,-.37,17.0,.05,-.44,35.0,.10,-.31,7.0,-.17,3.0,-0.26
ALICE,Wow,21-Oct-2014,Facebook,tW01F,https://www.facebook.com/cern/photos/a.173272186093468.45199.169005736520113/718132241607457/?type=1,344282,5.54,646.0,1.88,.36,28.0,.08,.02,114.0,.33,.45,60.0,.17,-.16,12.0,-.06,5.0,0.05
ATLAS,Wow,28-Oct-2014,Facebook,tW02F,https://www.facebook.com/cern/photos/a.173272186093468.45199.169005736520113/721312917956056/?type=1,347931,5.54,482.0,1.39,.09,8.0,.02,-.32,64.0,.18,-.01,40.0,.11,-.27,.0,-.33,.0,-0.72
CMS,Wow,4-Nov-2014,Facebook,tW03F,https://www.facebook.com/cern/photos/a.173272186093468.45199.169005736520113/724783237609024/?type=1,351021,5.55,441.0,1.26,.02,14.0,.04,-.22,72.0,.21,.06,36.0,.10,-.30,.0,-.33,.0,-0.72
LHCb,Wow,11-Nov-2014,Facebook,tW04F,https://www.facebook.com/cern/photos/a.173272186093468.45199.169005736520113/728261963927818/?type=1,353910,5.55,85.0,.24,-.52,6.0,.02,-.35,10.0,.03,-.49,5.0,.01,-.47,.0,-.33,.0,-0.72
RF,Wow,18-Nov-2014,Facebook,tW05Fa,https://www.facebook.com/cern/photos/a.173272186093468.45199.169005736520113/731535586933789/?type=1,358628,5.55,340.0,.95,-.14,6.0,.02,-.35,41.0,.11,-.23,41.0,.11,-.27,24.0,.21,10.0,0.81
RF,Wow,18-Nov-2014,Facebook,tW05Fb,https://www.facebook.com/cern/photos/a.173272186093468.45199.169005736520113/731535586933789/?type=1,358628,5.55,,,,,,,,,,89.0,.25,-.01,12.0,-.06,2.0,-0.41
TOTEM,Wow,25-Nov-2014,Facebook,tW06F,https://www.facebook.com/cern/photos/a.173272186093468.45199.169005736520113/735112473242767/?type=1,362921,5.56,385.0,1.06,-.08,8.0,.02,-.32,39.0,.11,-.25,68.0,.19,-.13,.0,-.33,3.0,-0.26
ISR archive pic,GWII,3-Nov-2014,Google+,tG03Gb,https://plus.google.com/+CERN/posts/gxydFCou9Rf,107000,5.03,,,,,,,,,,25.0,.23,-.42,52.0,2.10,8.0,0.71
Splash,Wow,9-Dec-2014,Facebook,tW08F,https://www.facebook.com/cern/photos/a.173272186093468.45199.169005736520113/741844665902881/?type=1,367671,5.57,470.0,1.28,.04,5.0,.01,-.37,37.0,.10,-.27,66.0,.18,-.15,29.0,.33,4.0,-0.10
Fabiola,News,4-Nov-2014,Facebook,tN09F,https://www.facebook.com/cern/photos/a.173272186093468.45199.169005736520113/724697100950971/?type=1,351021,5.55,1971.0,5.62,2.37,175.0,.50,2.41,375.0,1.07,2.75,354.0,1.01,1.46,17.0,.05,4.0,-0.10
LHC model,GWII,27-Oct-2014,Google+,tG02Ga,https://plus.google.com/+CERN/posts/XuTiH6svX9K,106000,5.03,67.0,.63,-.61,.0,.00,-.53,5.0,.05,-.43,16.0,.15,-.44,.0,-.47,.0,-0.55
LHC model,GWII,27-Oct-2014,Google+,tG02Gb,https://plus.google.com/+CERN/posts/XuTiH6svX9K,106000,5.03,,,,,,,,,,8.0,.08,-.47,.0,-.47,.0,-0.55
Fabiola,News,4-Nov-2014,Twitter,tN09T,https://twitter.com/CERN/status/529613712202940416,1040000,6.02,465.0,.45,2.60,38.0,.04,2.89,854.0,.82,3.07,594.0,.57,1.79,17.0,.83,4.0,0.22
Fabiola,News,4-Nov-2014,Tw Frenc,tN09Tw,https://twitter.com/CERN_FR/status/529632188846067713,12300,4.09,12.0,.98,3.87,3.0,.24,4.28,26.0,2.11,3.84,37.0,3.01,3.04,1.0,-.72,8.0,-0.22
CMS Cristal-ise,GWII,10-Nov-2014,Google+,tG04G,https://plus.google.com/+CERN/posts/8FXWEhtVBPa,108000,5.03,67.0,.62,-.61,5.0,.05,-.42,6.0,.06,-.42,17.0,.16,-.44,.0,-.47,.0,-0.55
ASACUSA,GWII,17-Nov-2014,Google+,tG05G,https://plus.google.com/+CERN/posts/FuGvGRYbYaU,108000,5.03,101.0,.94,-.56,6.0,.06,-.40,14.0,.13,-.38,14.0,.13,-.45,.0,-.47,.0,-0.55
Octopus,GWII,24-Nov-2014,Google+,tG06Ga,https://plus.google.com/+CERN/posts/26asSEdwqUM,12500,4.10,87.0,6.96,.53,3.0,.24,.03,10.0,.80,.02,11.0,.88,-.20,.0,-.47,.0,-0.55
Octopus,GWII,24-Nov-2014,Google+,tG06Gb,https://plus.google.com/+CERN/posts/26asSEdwqUM,12500,4.10,,,,,,,,,,10.0,.80,-.23,.0,-.47,.0,-0.55
CMS,Wow,4-Nov-2014,Instagra,tW03I,http://instagram.com/p/u_E2G-qDdS/?modal=true,497,2.70,142.0,285.71,2.49,2.0,4.02,-.11,,,,,,,,,,
Pipes,GWII,1-Dec-2014,Google+,tG07Gb,https://plus.google.com/+CERN/posts/dmqmCVU553W,12500,4.10,,,,,,,,,,2.0,.16,-.44,.0,-.47,.0,-0.55
ATLAS clean,GWII,8-Dec-2014,Google+,tG08G,https://plus.google.com/+CERN/posts/Kzp71sYckL2,12600,4.10,82.0,6.51,.45,5.0,.40,.40,8.0,.63,-.07,45.0,3.57,.71,.0,-.47,.0,-0.55
Collisioneur,News,17-Oct-2014,Google+,tN01G,https://plus.google.com/106123073424280939934/posts/H5gjqbzZLLX,105000,5.02,75.0,.71,-.60,.0,.00,-.53,22.0,.21,-.33,51.0,.49,-.33,15.0,.27,8.0,0.71
UN event,News,20-Oct-2014,Google+,tN02G,https://plus.google.com/106123073424280939934/posts/RuAU5XMqHYs,105000,5.02,32.0,.30,-.67,.0,.00,-.53,10.0,.10,-.40,13.0,.12,-.45,.0,-.47,.0,-0.55
CERN60 vid,News,21-Oct-2014,Google+,tN03G,https://plus.google.com/106123073424280939934/posts/JAV1G5rP3Fb,105000,5.02,55.0,.52,-.63,3.0,.03,-.47,10.0,.10,-.40,41.0,.39,-.36,11.0,.08,7.0,0.55
IceCube VV,News,23-Oct-2014,Google+,tN04G,https://plus.google.com/+CERN/posts/9HynDEB5vVz,106000,5.03,122.0,1.15,-.52,2.0,.02,-.49,11.0,.10,-.39,37.0,.35,-.38,.0,-.47,.0,-0.55
Nov Courier,News,28-Oct-2014,Google+,tN05Ga,https://plus.google.com/+CERN/posts/GrgcCHguX8d,106000,5.03,64.0,.60,-.62,.0,.00,-.53,9.0,.08,-.40,22.0,.21,-.42,.0,-.47,.0,-0.55
Nov Courier,News,28-Oct-2014,Google+,tN05Gb,https://plus.google.com/+CERN/posts/GrgcCHguX8d,106000,5.03,,,,,,,,,,17.0,.16,-.44,.0,-.47,.0,-0.55
TEDx videos,News,29-Oct-2014,Google+,tN06G,https://plus.google.com/+CERN/posts/dPMY4keKvhR,106000,5.03,44.0,.42,-.65,.0,.00,-.53,6.0,.06,-.42,35.0,.33,-.38,.0,-.47,.0,-0.55
LHChamber,News,30-Oct-2014,Google+,tN07G,https://plus.google.com/+CERN/posts/K1Xm1eRscZK,106000,5.03,102.0,.96,-.55,15.0,.14,-.20,27.0,.25,-.30,138.0,1.30,-.06,13.0,.17,6.0,0.39
Halloween,News,31-Oct-2014,Google+,tN08G,https://plus.google.com/+CERN/posts/KnqaaN9DFZ4,107000,5.03,60.0,.56,-.62,10.0,.09,-.31,4.0,.04,-.43,56.0,.52,-.32,22.0,.62,11.0,1.18
Fabiola,News,4-Nov-2014,Google+,tN09G,https://plus.google.com/+CERN/posts/MHiRaan8DLm,107000,5.03,297.0,2.78,-.22,14.0,.13,-.22,65.0,.61,-.09,51.0,.48,-.33,33.0,1.16,8.0,0.71
BellDay,News,4-Nov-2014,Google+,tN10G,https://plus.google.com/+CERN/posts/9aD49DZZNVz,107000,5.03,177.0,1.65,-.43,.0,.00,-.53,25.0,.23,-.31,39.0,.36,-.37,7.0,-.12,3.0,-0.08
John Bell art,News,7-Nov-2014,Google+,tN12G,https://plus.google.com/+CERN/posts/FerzEqCL14D,107000,5.03,26.0,.24,-.68,2.0,.02,-.49,4.0,.04,-.43,42.0,.39,-.36,.0,-.47,.0,-0.55
bl4s,News,17-Nov-2014,Google+,tN13Ga,https://plus.google.com/+CERN/posts/AnAtPusfJZx,108000,5.03,39.0,.36,-.66,.0,.00,-.53,7.0,.06,-.42,28.0,.26,-.41,.0,-.47,.0,-0.55
bl4s,News,17-Nov-2014,Google+,tN13Gb,https://plus.google.com/+CERN/posts/AnAtPusfJZx,108000,5.03,,,,,,,,,,13.0,.12,-.45,.0,-.47,.0,-0.55
The Port,News,18-Nov-2014,Google+,tN14G,https://plus.google.com/+CERN/posts/KqxcKpbEezP,12500,4.10,37.0,2.96,-.19,.0,.00,-.53,5.0,.40,-.22,8.0,.64,-.28,.0,-.47,.0,-0.55
CMS,Wow,4-Nov-2014,Twitter,tW03T,https://twitter.com/CERN/status/529677735690776576,1040000,6.02,252.0,.24,.99,14.0,.01,.59,270.0,.26,.49,236.0,.23,.06,28.0,2.01,3.0,-0.29
Beam tests,News,25-Nov-2014,Google+,tN16G,https://plus.google.com/+CERN/posts/Z8ELmiAyyEq,12500,4.10,100.0,8.00,.72,11.0,.88,1.54,13.0,1.04,.17,41.0,3.28,.61,22.0,.62,7.0,0.55
bl4s,News,27-Nov-2014,Google+,tN17Ga,https://plus.google.com/+CERN/posts/USaYo3inALM,12500,4.10,58.0,4.64,.11,1.0,.08,-.34,10.0,.80,.02,9.0,.72,-.25,.0,-.47,.0,-0.55
bl4s,News,27-Nov-2014,Google+,tN17Gb,https://plus.google.com/+CERN/posts/USaYo3inALM,12500,4.10,,,,,,,,,,3.0,.24,-.41,.0,-.47,.0,-0.55
Dec Courier,News,27-Nov-2014,Google+,tN18Ga,https://plus.google.com/+CERN/posts/HiRQdqtRX8h,12500,4.10,76.0,6.08,.37,.0,.00,-.53,16.0,1.28,.31,26.0,2.08,.20,.0,-.47,.0,-0.55
Dec Courier,News,27-Nov-2014,Google+,tN18Gb,https://plus.google.com/+CERN/posts/HiRQdqtRX8h,12500,4.10,,,,,,,,,,35.0,2.80,.45,25.0,.77,3.0,-0.08
bl4s,News,2-Dec-2014,Google+,tN19Ga,https://plus.google.com/+CERN/posts/TCg3hRgipZD,12500,4.10,19.0,1.52,-.45,.0,.00,-.53,3.0,.24,-.31,4.0,.32,-.39,.0,-.47,.0,-0.55
bl4s,News,2-Dec-2014,Google+,tN19Gb,https://plus.google.com/+CERN/posts/TCg3hRgipZD,12500,4.10,,,,,,,,,,20.0,1.60,.04,14.0,.22,10.0,1.02
CMS,Wow,4-Nov-2014,Tw Frenc,tW03Tw,https://twitter.com/CERN_FR/status/529680629949296640,12300,4.09,4.0,.33,.60,2.0,.16,2.74,6.0,.49,.04,10.0,.81,-.17,14.0,-.44,10.0,-0.07
bl4s,News,4-Dec-2014,Google+,tN20Gb,https://plus.google.com/+CERN/posts/aMPFMjreBpk,12600,4.10,,,,,,,,,,14.0,1.11,-.12,12.0,.13,14.0,1.65
Ribbon,News,8-Dec-2014,Google+,tN21G,https://plus.google.com/+CERN/posts/evUGoG9AgAf,12600,4.10,164.0,13.02,1.62,8.0,.63,.96,30.0,2.38,.97,39.0,3.10,.55,1.0,-.42,2.0,-0.24
Control rooms,TBT,13-Nov-2014,Tw Frenc,tT04Tw,https://twitter.com/CERN_FR/status/532931753267453953,12400,4.09,2.0,.16,-.22,.0,.00,-.34,7.0,.56,.22,13.0,1.05,.18,139.0,2.25,8.0,-0.22
bl4s (N13),News,17-Nov-2014,Twitter,tN13Ta,https://twitter.com/CERN/status/534347170825404416,1050000,6.02,50.0,.05,-.54,1.0,.00,-.65,85.0,.08,-.33,152.0,.14,-.35,15.0,.61,8.0,2.29
PS bubble,TBT,23-Oct-2014,Google+,tT01G,https://plus.google.com/+CERN/posts/BSZmh8DEsHW,106000,5.03,69.0,.65,-.61,3.0,.03,-.47,8.0,.08,-.41,10.0,.09,-.46,.0,-.47,.0,-0.55
Wire-weaving,TBT,30-Oct-2014,Google+,tT02G,https://plus.google.com/+CERN/posts/UKVQompnPth,106000,5.03,73.0,.69,-.60,.0,.00,-.53,10.0,.09,-.40,17.0,.16,-.44,7.0,-.12,6.0,0.39
BEBC pipe,TBT,6-Nov-2014,Google+,tT03G,https://plus.google.com/+CERN/posts/78FuLbWM4WZ,107000,5.03,47.0,.44,-.65,14.0,.13,-.22,.0,.00,-.46,59.0,.55,-.31,2.0,-.37,5.0,0.24
Control rooms,TBT,13-Nov-2014,Google+,tT04G,https://plus.google.com/+CERN/posts/bQY77fWGTRE,108000,5.03,88.0,.81,-.58,.0,.00,-.53,10.0,.09,-.40,12.0,.11,-.46,.0,-.47,.0,-0.55
1st computer,TBT,20-Nov-2014,Google+,tT05Ga,https://plus.google.com/+CERN/posts/aLyew83k6Y2,12500,4.10,61.0,4.88,.16,3.0,.24,.03,8.0,.64,-.07,11.0,.88,-.20,.0,-.47,.0,-0.55
1st computer,TBT,20-Nov-2014,Google+,tT05Gb,https://plus.google.com/+CERN/posts/aLyew83k6Y2,12500,4.10,,,,,,,,,,10.0,.80,-.23,.0,-.47,.0,-0.55
Power,TBT,27-Nov-2014,Google+,tT06G,https://plus.google.com/+CERN/posts/N4Xgq4ywbVD,12500,4.10,37.0,2.96,-.19,.0,.00,-.53,1.0,.08,-.41,18.0,1.44,-.01,3.0,-.32,6.0,0.39
Courier reminisce,TBT,4-Dec-2014,Google+,tT07G,https://plus.google.com/+CERN/posts/97w3kfgctkt,12600,4.10,46.0,3.65,-.07,.0,.00,-.53,4.0,.32,-.26,4.0,.32,-.39,.0,-.47,.0,-0.55
SPS Tank,TBT,11-Dec-2014,Google+,tT08G,https://plus.google.com/+CERN/posts/7y4tyQyiSmj,12600,4.10,96.0,7.62,.65,3.0,.24,.03,7.0,.56,-.12,20.0,1.59,.04,.0,-.47,.0,-0.55
ALICE,Wow,21-Oct-2014,Google+,tW01G,https://plus.google.com/106123073424280939934/posts/DvQryTcMFdh,105000,5.02,179.0,1.70,-.42,3.0,.03,-.47,30.0,.29,-.28,32.0,.30,-.39,.0,-.47,.0,-0.55
ATLAS,Wow,28-Oct-2014,Google+,tW02G,https://plus.google.com/+CERN/posts/Ztskr4Qay1e,106000,5.03,168.0,1.58,-.44,5.0,.05,-.42,31.0,.29,-.28,44.0,.42,-.35,6.0,-.17,2.0,-0.24
CMS,Wow,4-Nov-2014,Google+,tW03G,https://plus.google.com/+CERN/posts/gjD236rNWio,107000,5.03,192.0,1.79,-.40,10.0,.09,-.31,29.0,.27,-.29,46.0,.43,-.35,.0,-.47,.0,-0.55
LHCb,Wow,11-Nov-2014,Google+,tW04G,https://plus.google.com/+CERN/posts/GLX8sdQ7KFe,108000,5.03,116.0,1.07,-.53,4.0,.04,-.45,10.0,.09,-.40,15.0,.14,-.45,4.0,-.27,7.0,0.55
RF,Wow,18-Nov-2014,Google+,tW05Ga,https://plus.google.com/+CERN/posts/6Fk2C4jXqqU,12500,4.10,106.0,8.48,.81,4.0,.32,.22,12.0,.96,.12,37.0,2.96,.50,.0,-.47,.0,-0.55
RF,Wow,18-Nov-2014,Google+,tW05Gb,https://plus.google.com/+CERN/posts/6Fk2C4jXqqU,12500,4.10,,,,,,,,,,29.0,2.32,.29,.0,-.47,.0,-0.55
TOTEM,Wow,25-Nov-2014,Google+,tW06G,https://plus.google.com/+CERN/posts/PCETQsJEpUX,12500,4.10,92.0,7.36,.60,3.0,.24,.03,14.0,1.12,.22,32.0,2.56,.37,1.0,-.42,3.0,-0.08
RF,Wow,18-Nov-2014,Tw Frenc,tW05Twa,https://twitter.com/CERN_FR/status/534739673730387968,12500,4.10,4.0,.32,.58,2.0,.16,2.69,6.0,.48,.02,11.0,.88,-.07,.0,-.75,.0,-0.84
Splash,Wow,9-Dec-2014,Google+,tW08G,https://plus.google.com/+CERN/posts/1xQjwdcMgqG,12600,4.10,72.0,5.71,.31,3.0,.24,.03,7.0,.56,-.12,32.0,2.54,.36,.0,-.47,.0,-0.55
Archive pics,GWII,20-Oct-2014,Instagra,tG01I,http://instagram.com/p/uaUOeRqDWt/?modal=true,266,2.42,53.0,199.25,.91,4.0,15.04,1.92,,,,,,,,,,
LHC model,GWII,27-Oct-2014,Instagra,tG02I,http://instagram.com/p/uqh4XpKDdA/?modal=true,393,2.59,94.0,239.19,1.64,2.0,5.09,.09,,,,,,,,,,
ISR archive pic,GWII,3-Nov-2014,Instagra,tG03Ia,http://instagram.com/p/u7qrf4KDSk/?modal=true,497,2.70,62.0,124.75,-.46,.0,.00,-.85,,,,,,,,,,
CMS Cristal-ise,GWII,10-Nov-2014,Instagra,tG04I,http://instagram.com/p/vORJCuqDbG/?modal=true,644,2.81,101.0,156.83,.13,3.0,4.66,.01,,,,,,,,,,
ASACUSA,GWII,17-Nov-2014,Instagra,tG05I,http://instagram.com/p/vhBpbxqDfD/?modal=true,858,2.93,120.0,139.86,-.18,6.0,6.99,.44,,,,,,,,,,
Octopus,GWII,24-Nov-2014,Instagra,tG06Ia,http://instagram.com/p/vyTjc8qDda/?modal=true,994,3.00,109.0,109.66,-.73,1.0,1.01,-.67,,,,,,,,,,
Pipes,GWII,1-Dec-2014,Instagra,tG07Ia,http://instagram.com/p/wFJbVSKDVJ/?modal=true,1160,3.06,148.0,127.59,-.40,3.0,2.59,-.38,,,,,,,,,,
ATLAS clean,GWII,8-Dec-2014,Instagra,tG08I,http://instagram.com/p/wWSrMnKDVQ/?modal=true,1290,3.11,176.0,136.43,-.24,3.0,2.33,-.42,,,,,,,,,,
Halloween,News,31-Oct-2014,Instagra,tN08I,http://instagram.com/p/u0hUHyKDaJ/?modal=true,475,2.68,55.0,115.79,-.62,.0,.00,-.85,,,,,,,,,,
Fabiola,News,4-Nov-2014,Instagra,tN09I,http://instagram.com/p/u7qrf4KDSk/?modal=true,497,2.70,112.0,225.35,1.39,6.0,12.07,1.38,,,,,,,,,,
bl4s,News,17-Nov-2014,Instagra,tN13I,http://instagram.com/p/vhBpbxqDfD/?modal=true,858,2.93,114.0,132.87,-.31,2.0,2.33,-.42,,,,,,,,,,
The Port,News,18-Nov-2014,Instagra,tN14I,http://instagram.com/p/vi8G84KDdt/?modal=true,882,2.95,90.0,102.04,-.87,2.0,2.27,-.44,,,,,,,,,,
Open Data,News,20-Nov-2014,Instagra,tN15I,http://instagram.com/p/voJZH9qDQR/?modal=true,942,2.97,134.0,142.25,-.14,2.0,2.12,-.46,,,,,,,,,,
Beam tests,News,25-Nov-2014,Instagra,tN16I,http://instagram.com/p/v1ocBkKDR9/?modal=true,1060,3.03,101.0,95.28,-.99,4.0,3.77,-.16,,,,,,,,,,
Ribbon,News,8-Dec-2014,Instagra,tN21I,http://instagram.com/p/wY9Aq5qDUd/?modal=true,1290,3.11,177.0,137.21,-.23,5.0,3.88,-.14,,,,,,,,,,
IdeaSquare,News,9-Dec-2014,Instagra,tN22I,http://instagram.com/p/wZkWNQqDSx/?modal=true,1290,3.11,130.0,100.78,-.89,3.0,2.33,-.42,,,,,,,,,,
PS bubble,TBT,23-Oct-2014,Instagra,tT01I,http://instagram.com/p/uffPmgqDcX/?modal=true,326,2.51,64.0,196.32,.85,1.0,3.07,-.29,,,,,,,,,,
Wire-weaving,TBT,30-Oct-2014,Instagra,tT02I,http://instagram.com/p/uxpQPcKDW0/?modal=true,464,2.67,65.0,140.09,-.17,2.0,4.31,-.06,,,,,,,,,,
BEBC pipe,TBT,6-Nov-2014,Instagra,tT03I,http://instagram.com/p/vEGrJ6KDXr/?modal=true,543,2.73,56.0,103.13,-.85,.0,.00,-.85,,,,,,,,,,
Control rooms,TBT,13-Nov-2014,Instagra,tT04I,http://instagram.com/p/vWJXNkKDYG/?modal=true,779,2.89,99.0,127.09,-.41,5.0,6.42,.33,,,,,,,,,,
1st computer,TBT,20-Nov-2014,Instagra,tT05Ia,http://instagram.com/p/voSb2ZKDZo/?modal=true,942,2.97,96.0,101.91,-.87,6.0,6.37,.32,,,,,,,,,,
Power,TBT,27-Nov-2014,Instagra,tT06I,http://instagram.com/p/v6aHsaKDa7/?modal=true,1060,3.03,123.0,116.04,-.61,.0,.00,-.85,,,,,,,,,,
Courier reminisce,TBT,4-Dec-2014,Instagra,tT07I,http://instagram.com/p/wMpSXTKDUk/?modal=true,1190,3.08,99.0,83.19,-1.22,1.0,.84,-.70,,,,,,,,,,
SPS Tank,TBT,11-Dec-2014,Instagra,tT08I,http://instagram.com/p/wes5w2qDSO/?modal=true,1290,3.11,162.0,125.58,-.44,4.0,3.10,-.28,,,,,,,,,,
Open Data,News,20-Nov-2014,Facebook,tN15F,https://www.facebook.com/cern/photos/a.173272186093468.45199.169005736520113/732607893493225/?type=1,360872,5.56,1177.0,3.26,1.10,132.0,.37,1.65,354.0,.98,2.47,1032.0,2.86,5.05,10.0,-.10,3.0,-0.26
ATLAS,Wow,28-Oct-2014,Instagra,tW02I,http://instagram.com/p/usW4iEKDe3/?modal=true,411,2.61,97.0,236.01,1.58,1.0,2.43,-.40,,,,,,,,,,
Open Data,News,20-Nov-2014,Google+,tN15G,https://plus.google.com/+CERN/posts/ZVrdTnHqQZo,12500,4.10,255.0,20.40,2.96,16.0,1.28,2.48,105.0,8.40,4.58,207.0,16.56,5.07,17.0,.37,5.0,0.24
LHCb,Wow,11-Nov-2014,Instagra,tW04I,http://instagram.com/p/vQ1tnNqDYU/?modal=true,708,2.85,81.0,114.41,-.64,1.0,1.41,-.59,,,,,,,,,,
RF,Wow,18-Nov-2014,Instagra,tW05Ia,http://instagram.com/p/vjB0wcKDel/?modal=true,882,2.95,118.0,133.79,-.29,3.0,3.40,-.23,,,,,,,,,,
TOTEM,Wow,25-Nov-2014,Instagra,tW06I,http://instagram.com/p/v1iTr7qDcb/?modal=true,1060,3.03,145.0,136.79,-.23,1.0,.94,-.68,,,,,,,,,,
Open Data,News,20-Nov-2014,Twitter,tN15T,https://twitter.com/CERN/status/535443404755566592,1050000,6.02,438.0,.42,2.36,20.0,.02,1.15,746.0,.71,2.56,976.0,.93,3.59,20.0,1.15,7.0,1.77
Splash,Wow,9-Dec-2014,Instagra,tW08I,http://instagram.com/p/wZhKyJqDcq/?modal=true,1290,3.11,159.0,123.26,-.48,5.0,3.88,-.14,,,,,,,,,,
Archive pics,GWII,20-Oct-2014,Tw Frenc,tG01Tw,https://twitter.com/CERN_FR/status/524186977617195010,12200,4.09,1.0,.08,-.62,.0,.00,-.34,6.0,.49,.05,10.0,.82,-.16,114.0,1.71,10.0,-0.07
LHC model,GWII,27-Oct-2014,Tw Frenc,tG02Tw,https://twitter.com/CERN_FR/status/526792021491871746,12300,4.09,4.0,.33,.60,.0,.00,-.34,5.0,.41,-.15,11.0,.89,-.05,23.0,-.25,9.0,-0.15
