photo,location,site,depth,barn.presence,count,area.m,dens.m,coral.cover,depth.,,
D01,FGB,EB,32.6992,y,867,1.93994763,446.919281,42.96672,deep,,
D02,FGB,EB,29.5656,y,268,2.01714317,132.8611692,44.67648,deep,,
D03,FGB,EB,31.0896,y,186,1.29890036,143.198051,28.76856,deep,,
D04,FGB,EB,31.0896,y,56,1.6940464,33.05694578,37.52041,deep,,
D05,FGB,EB,32.6136,y,302,1.8066942,167.1561242,40.01538,deep,,
D06,FGB,EB,33.8328,y,11,0.2124307,51.78159277,4.705,deep,,
D07,FGB,EB,35.3568,y,135,1.35028732,99.97872,29.9067,deep,,
D08,FGB,EB,35.3568,y,103,1.35722815,75.88997,30.06042,deep,,
D10,FGB,EB,31.0896,y,169,0.3365845,502.1027409,7.45481,deep,,
D11,FGB,EB,37.7952,y,230,0.64832337,354.7612359,14.35932,deep,,
D12,FGB,WB,29.5656,y,7,0.38851047,18.01753245,8.60488,deep,,
D13,FGB,WB,31.0896,y,45,0.75333035,59.73474983,16.68506,deep,,
D14,FGB,WB,31.0896,y,107,1.05241584,101.6708376,23.30932,deep,,
D15,FGB,WB,32.6136,y,126,0.65530646,192.2764503,14.51399,deep,,
D16,FGB,WB,33.8328,y,424,1.51678636,279.5383788,33.59438,deep,,
D17,FGB,WB,35.3568,y,243,1.7587079,138.1696187,38.95256,deep,,
D18,FGB,WB,35.3568,y,567,1.95756327,289.6458105,43.35688,deep,,
D19,FGB,WB,36.8808,y,20,0.1200911,166.5402349,2.65983,deep,,
D20,FGB,WB,37.7952,y,29,0.44443647,65.25117077,9.84355,deep,,
D21,FGB,WB,37.7952,y,1088,1.6759724,649.1753683,37.1201,deep,,
D22,FGB,WB,38.1,y,794,2.2919977,346.42269,50.76407,deep,,
