13,..,..,..,..,..,-,1,2,2,6,1,2,1,-,2,-,2,1,4,-,3,-,4,1,3,13,1,-,5,-,-,3,2,1,-,1,1,-,2,1,3,1,2,1,2,4,1,1,1,2,-,-,3,2,5,1,2,1,2,3,1,2,4,3,1,2,1,1,-,1,2,1,2,-,2,2,13,,,
14,..,..,..,..,..,2,7,3,5,1,3,6,9,8,6,7,18,10,9,5,9,7,9,12,9,14,13,19,9,23,19,17,20,11,16,20,16,15,16,18,16,18,15,16,17,14,18,11,23,19,24,25,23,23,22,18,19,16,17,13,12,16,20,18,10,8,14,7,8,15,13,11,5,10,4,5,14,,,
15,..,..,..,..,..,16,17,17,19,16,20,28,25,21,31,38,36,58,61,54,66,58,77,79,96,15,95,91,97,116,136,123,114,86,88,118,95,76,102,108,98,100,111,105,127,107,104,101,104,104,107,135,134,153,110,123,115,115,91,89,83,86,85,86,79,85,61,68,55,49,45,46,33,20,17,22,15,,,
21,"3,692","4,243","4,895","4,604","4,588","4,575","4,578","4,817","4,741","4,887","4,926","5,162","5,446","5,755","5,890","6,046","5,989","6,091","5,845","6,369","6,239","5,792","5,941","7,342","6,510",21,"6,142","5,820","4,986","4,615","4,545","4,231","3,999","3,794","4,024","4,066","4,277","4,193","4,091","3,927","3,723","3,677","3,583","3,421","3,289","2,973","2,972","2,846","2,665","2,418","2,157","2,017","1,923","1,909","1,746","1,708","1,738","1,787","1,956","1,848","1,831","1,868","1,886","2,085","2,131","2,118","1,906","1,936","1,829","1,726","1,593","1,465",1328,1258,1179,1113,21,,,
22,"4,410","4,902","5,672","5,434","5,054","5,113","5,097","5,165","5,410","5,525","5,436","5,934","6,194","6,301","6,380","6,557","6,566","6,958","6,469","6,514","6,631","6,426","6,165","6,421","7,179",22,"6,800","6,274","5,409","5,040","4,655","4,622","4,420","4,167","4,331","4,654","4,672","4,844","4,504","4,399","4,258","4,265","4,017","3,851","3,679","3,448","3,427","3,246","2,884","2,712","2,456","2,333","2,089","2,100","1,936","1,723","1,713","1,803","1,841","1,962","2,023","1,931","1,994","2,184","2,300","2,198","2,141","2,100","2,055","1,968","1,936","1,769",1649,1531,1469,1374,22,,,
23,"5,024","5,830","6,808","6,050","6,001","5,550","5,673","5,695","6,018","6,311","6,275","6,317","6,628","7,052","6,910","6,983","7,020","7,508","7,332","7,066","6,831","7,010","6,842","6,353","6,259",23,"7,457","7,044","6,032","5,473","5,114","4,833","4,608","4,467","4,441","4,892","5,031","5,092","4,876","4,732","4,641","4,713","4,483","4,505","4,236","3,799","3,719","3,858","3,554","3,137","3,022","2,635","2,417","2,271","2,101","1,985","1,780","1,790","1,869","2,051","2,188","2,153","2,269","2,222","2,460","2,452","2,358","2,358","2,198","2,199","2,088","1,980",1958,1750,1606,1503,23,,,
24,"5,716","6,479","7,337","6,532","6,192","6,072","5,849","5,821","6,013","6,495","6,702","6,666","6,964","7,044","6,945","7,307","7,318","7,502","7,411","7,382","7,023","6,757","7,008","6,891","6,107",24,"6,195","7,527","6,545","6,010","5,381","5,164","4,719","4,692","4,780","4,847","5,073","5,322","4,984","5,009","4,954","4,981","4,825","4,935","4,689","4,364","4,246","4,272","3,965","3,646","3,166","3,128","2,820","2,643","2,337","2,280","1,982","1,909","1,937","2,027","2,198","2,263","2,361","2,469","2,562","2,583","2,479","2,543","2,539","2,406","2,331","2,247",2205,2101,1942,1775,24,,,
20 - 24,"21,585","24,553","27,907","25,936","25,233","24,660","24,675","24,934","25,457","26,719","26,830","27,889","29,279","30,370","30,479","31,333","31,145","32,697","31,861","32,397","31,555","30,898","31,966","32,805","31,386",20 - 24,"31,478","31,480","27,175","25,232","23,693","22,700","21,340","20,559","21,006","21,977","22,564","23,020","21,838","21,296","20,699","20,778","19,824","19,508","18,812","17,164","16,953","16,723","15,405","13,923","12,637","11,913","11,026","10,607","9,804","9,440","8,962","9,121","9,267","9,626","9,950","10,008","10,399","10,913","11,373","11,188","10,660","10,619","10,272","9,767","9,273","8,643","8,282","7,720","7,187","6,707",20 - 24,,,
25,..,..,..,..,..,"5,997","6,058","5,992","5,996","6,081","6,481","6,624","6,807","6,876","6,816","7,096","7,132","7,370","7,563","7,511","6,907","6,654","6,586","6,804","6,562",25,"5,926","6,169","6,971","6,185","5,465","5,339","5,078","4,707","4,866","5,283","5,102","5,257","4,977","5,011","5,060","5,050","5,033","4,916","4,994","4,707","4,849","4,532","4,276","4,330","3,884","3,542","3,323","3,057","2,811","2,530","2,292","2,194","1,910","2,139","2,347","2,460","2,614","2,592","2,826","2,757","2,720","2,873","2,751","2,602","2,623","2,515",2480,2385,2254,2055,25,,,
26,..,..,..,..,..,"5,866","5,788","6,230","5,922","5,832","6,136","6,595","6,663","6,730","6,533","6,766","6,800","7,013","7,005","7,105","6,745","6,255","6,046","6,088","5,982",26,"5,980","5,560","5,236","6,339","5,649","5,233","4,926","4,601","4,653","5,007","5,053","4,925","4,775","4,908","5,000","5,209","4,961","4,975","5,051","4,756","5,001","5,070","4,659","4,426","4,238","3,950","3,590","3,574","3,219","2,814","2,604","2,405","2,340","2,133","2,407","2,494","2,712","2,904","3,065","3,091","2,939","3,026","2,999","2,796","2,927","2,735",2693,2708,2587,2490,26,,,
27,..,..,..,..,..,"5,785","5,647","5,375","5,905","5,705","5,857","5,914","6,237","6,273","6,220","6,130","6,254","6,446","6,289","6,322","6,224","5,772","5,776","5,364","5,218",27,"5,433","5,381","4,683","4,671","5,454","5,113","4,808","4,429","4,478","4,790","4,901","4,687","4,543","4,412","4,678","4,851","4,857","4,805","5,014","4,759","5,093","5,053","4,948","4,616","4,509","4,267","4,134","3,708","3,568","3,231","2,887","2,735","2,551","2,555","2,485","2,618","2,720","3,146","3,288","3,346","3,194","3,010","3,255","3,084","3,187","3,117",2949,2966,2950,2856,27,,,
28,..,..,..,..,..,"5,664","5,427","5,477","5,409","5,627","5,540","5,724","5,911","6,027","6,059","6,018","5,699","6,018","5,924","5,957","5,892","5,570","5,449","5,185","4,866",28,"4,660","4,850","4,340","4,011","3,923","4,685","4,460","4,071","4,181","4,497","4,299","4,396","4,139","4,078","4,249","4,499","4,433","4,617","4,577","4,549","4,809","4,859","4,941","4,771","4,583","4,331","4,244","4,147","3,836","3,721","3,274","3,077","2,779","2,890","2,881","2,676","2,876","3,218","3,542","3,495","3,597","3,357","3,370","3,267","3,398","3,443",3362,3125,3035,2937,28,,,
29,..,..,..,..,..,"5,815","5,457","5,012","5,084","5,065","5,351","5,170","5,253","5,370","5,517","5,656","5,436","5,424","5,243","5,286","5,165","4,752","4,623","4,587","4,346",29,"3,875","4,055","3,641","3,512","3,142","3,209","4,021","3,759","3,814","4,033","3,845","3,875","3,681","3,677","3,797","3,868","4,039","4,167","4,282","4,128","4,451","4,649","4,747","4,615","4,637","4,305","4,220","4,296","4,043","3,715","3,619","3,352","3,114","3,008","3,011","2,981","2,954","3,058","3,450","3,489","3,702","3,613","3,653","3,479","3,596","3,505",3492,3353,3254,3236,29,,,
