"gender","f1_psychopathy","f2_psychopathy","total_psychopathy","attractiveness","fighting_ability","strength","height","shirt_type","median_income","oldest","major_presige","interruptions_per_min","sequence_starts_per_wordX100","proportion_sequence_starts","proportion_words"
1,-1.37,-0.66,-1.33,0.38,0.84,0.82,0.43,"short",100.8,"yes",19,0.001,2,0.118,0.16
0,1.13,1.54,1.5,-0.81,-0.85,-0.38,-0.47,"short",31.3,"no",17.5,0.609,3.29,0.389,0.29
0,-0.32,-1.39,-0.82,-1.22,-1.06,-0.64,0.74,"short",50.7,"yes",15,0.305,3.28,0.333,0.25
0,1.13,1.54,1.5,-0.81,-0.85,-0.38,-0.47,"short",31.3,"no",17.5,0.609,3.29,0.389,0.29
0,-0.05,-0.9,-0.42,-0.41,-1.26,-0.34,-1.68,"short",87.4,"no",17.5,0.914,1.46,0.278,0.46
0,-0.32,-1.39,-0.82,-1.22,-1.06,-0.64,0.74,"short",50.7,"yes",15,0.305,3.28,0.333,0.25
0,-0.05,-0.9,-0.42,-0.41,-1.26,-0.34,-1.68,"short",87.4,"no",17.5,0.914,1.46,0.278,0.46
1,-0.32,0.07,-0.22,0.8,0.01,0.16,-0.67,"long",59.2,"Missing",38,0.531,3.36,0.526,0.38
1,0.08,1.67,0.71,0.7,1.25,1.58,2.27,"long",94,"Missing",19,0.265,0,0,0.33
1,-0.32,0.07,-0.22,0.8,0.01,0.16,-0.67,"long",59.2,"Missing",38,0.531,3.36,0.526,0.38
1,-0.05,-0.66,-0.32,0.91,0.68,0.12,0.8,"short",76.6,"Missing",15,0.265,3.98,0.474,0.29
1,0.08,1.67,0.71,0.7,1.25,1.58,2.27,"long",94,"Missing",19,0.265,0,0,0.33
1,-0.05,-0.66,-0.32,0.91,0.68,0.12,0.8,"short",76.6,"Missing",15,0.265,3.98,0.474,0.29
0,1.75,1.4,1.93,0.53,0.06,0.3,-1.68,"long",120.1,"Missing",19,1.176,2.5,0.467,0.45
0,1,0.8,1.1,-0.14,1.5,0.61,-1.28,"short",66.6,"Missing",38,0.001,3.96,0.267,0.16
0,1.75,1.4,1.93,0.53,0.06,0.3,-1.68,"long",120.1,"Missing",19,1.176,2.5,0.467,0.45
