"triad","indiv-1","indiv-2","dyad","dyad_split","individual_split","gender","f1_psychopathy","f2_psychopathy","total_psychopathy","attractiveness","fighting_ability","strength","height","shirt_type","shirt1","median_income","oldest","highest_class_rank","major_presige","dyad_status_difference","proportion_words","proportion_sequence_starts","interruptions_per_min","sequence_starts_per_wordX100","interruptions_per_wordX100","affect_words","triad_total_words_per_min"
3,92192144,92146016,7,2,1,0,2.44,0.32,2,-1.22,0.93,0.02,-0.07,"short",2,NA,NA,NA,15,1.14,0.6,0.5,1.739,1.62,1.39,5.6,207.8
3,92146016,92125216,8,1,2,0,-0.97,0.56,-0.52,1.07,2.06,0.9,0.74,"short",2,61.4,NA,NA,37.5,-1.14,0.17,0.286,0.29,3.36,0.84,6.43,207.8
3,92125216,92146016,8,2,1,0,-0.18,-0.17,-0.22,-0.95,-0.05,-0.71,0.33,"short",2,112.4,NA,NA,38,1.14,0.23,0.214,1.159,1.82,2.42,6,207.8
3,92192144,92125216,9,1,2,0,2.44,0.32,2,-1.22,0.93,0.02,-0.07,"short",2,NA,NA,NA,15,0.86,0.6,0.5,1.739,1.62,1.39,5.58,207.8
3,92125216,92192144,9,2,2,0,-0.18,-0.17,-0.22,-0.95,-0.05,-0.71,0.33,"short",2,112.4,NA,NA,38,-0.86,0.23,0.214,1.159,1.82,2.42,6.04,207.8
4,92177968,92179088,10,1,1,1,-0.18,0.56,0.09,-0.46,0.07,0.47,-0.3,"short",2,73.1,NA,NA,38,0,0.14,0.214,0.811,2.68,2.68,9.4,216.8
4,92179088,92177968,10,2,1,1,0.21,0.07,0.19,-0.88,1.2,2.08,-1.03,"long",3,58.4,NA,NA,27.5,0,0.66,0.714,2.162,1.9,1.52,4.9,216.8
4,92177968,92131872,11,1,2,1,-0.18,0.56,0.09,-0.46,0.07,0.47,-0.3,"short",2,73.1,NA,NA,38,-0.14,0.14,0.214,0.811,2.68,2.68,9.4,216.8
4,92131872,92177968,11,2,1,1,-0.71,-0.66,-0.82,-0.46,-0.48,-0.94,0.8,"short",2,72.3,NA,NA,37.5,0.14,0.2,0.071,0.811,0.61,1.83,9.21,216.8
4,92179088,92131872,12,1,2,1,0.21,0.07,0.19,-0.88,1.2,2.08,-1.03,"long",3,58.4,NA,NA,27.5,-0.14,0.66,0.714,2.162,1.9,1.52,4.9,216.8
4,92131872,92179088,12,2,2,1,-0.71,-0.66,-0.82,-0.46,-0.48,-0.94,0.8,"short",2,72.3,NA,NA,37.5,0.14,0.2,0.071,0.811,0.61,1.83,9.21,216.8
5,92141072,92139616,13,1,1,1,-0.71,-1.39,-1.12,-1.3,-0.66,-1.17,-1.03,"tanktop",1,62.3,"no",0,15,-0.29,0.21,0.391,1.327,4.69,2.6,3.32,245.6
5,92139616,92141072,13,2,1,1,1.39,-0.9,0.69,-1.19,1.35,1.23,0.8,"short",2,33.8,"yes",1,30,0.29,0.53,0.261,3.982,1.22,3.06,4.84,245.6
5,92141072,13255567,14,1,2,1,-0.71,-1.39,-1.12,-1.3,-0.66,-1.17,-1.03,"tanktop",1,62.3,"no",0,15,-0.57,0.21,0.391,1.327,4.69,2.6,3.32,245.6
5,13255567,92141072,14,2,1,1,1.75,1.4,1.93,0.49,-0.34,0.84,-1.03,"long",3,60.7,"no",0,30,0.57,0.26,0.348,3.717,3.28,5.74,3.58,245.6
5,92139616,13255567,15,1,2,1,1.39,-0.9,0.69,-1.19,1.35,1.23,0.8,"short",2,33.8,"yes",1,30,-0.14,0.53,0.261,3.982,1.22,3.06,4.84,245.6
5,13255567,92139616,15,2,2,1,1.75,1.4,1.93,0.49,-0.34,0.84,-1.03,"long",3,60.7,"no",0,30,0.14,0.26,0.348,3.717,3.28,5.74,3.58,245.6
6,92179464,13223029,16,1,1,1,-0.05,-0.66,-0.32,0.17,-0.66,0.37,0.8,"long",3,43.6,"no",0,15,-1.42,0.36,0.5,0.663,3.11,0.89,5.71,205.6
6,13223029,92179464,16,2,1,1,-0.32,-1.15,-0.72,-1.4,-1.69,-1.27,-0.67,"long",3,66.6,"yes",1,8.5,1.42,0.18,0.214,0.331,2.63,0.88,1.79,205.6
6,92179464,92152624,17,1,2,1,-0.05,-0.66,-0.32,0.17,-0.66,0.37,0.8,"long",3,43.6,"no",0,15,0.43,0.36,0.5,0.663,3.11,0.89,5.71,205.6
6,92152624,92179464,17,2,1,1,0.21,1.29,0.69,-0.04,-1.09,-1.34,-1.03,"short",2,128.9,"no",0,37.5,-0.43,0.45,0.286,1.989,1.42,2.13,5.44,205.6
6,13223029,92152624,18,1,2,1,-0.32,-1.15,-0.72,-1.4,-1.69,-1.27,-0.67,"long",3,66.6,"yes",1,8.5,1,0.18,0.214,0.331,2.63,0.88,1.79,205.6
6,92152624,13223029,18,2,2,1,0.21,1.29,0.69,-0.04,-1.09,-1.34,-1.03,"short",2,128.9,"no",0,37.5,-1,0.45,0.286,1.989,1.42,2.13,5.44,205.6
7,92179896,13255890,19,1,1,1,-0.18,-0.41,-0.32,-1.4,-1.63,-0.32,-0.3,"long",3,NA,"no",0,15,0,0.3,0.333,0.265,2.7,0.54,9.34,160.7
7,13255890,92179896,19,2,1,1,0.21,1.29,0.69,-0.98,-1.21,-0.68,-0.3,"long",3,59.2,"no",0,17.5,0,0.27,0.2,1.062,1.86,2.48,4.91,160.7
7,92179896,92195808,20,1,2,1,-0.18,-0.41,-0.32,-1.4,-1.63,-0.32,-0.3,"long",3,NA,"no",0,15,-0.43,0.3,0.333,0.265,2.7,0.54,9.34,160.7
7,92195808,92179896,20,2,1,1,-0.45,0.07,-0.32,-0.14,-1.35,-0.36,-0.3,"tanktop",1,88.7,"yes",1,12.5,0.43,0.43,0.467,0.531,2.69,0.77,8.68,160.7
7,13255890,92195808,21,1,2,1,0.21,1.29,0.69,-0.98,-1.21,-0.68,-0.3,"long",3,59.2,"no",0,17.5,-0.86,0.27,0.2,1.062,1.86,2.48,4.91,160.7
7,92195808,13255890,21,2,2,1,-0.45,0.07,-0.32,-0.14,-1.35,-0.36,-0.3,"tanktop",1,88.7,"yes",1,12.5,0.86,0.43,0.467,0.531,2.69,0.77,8.68,160.7
8,92143936,61353428,22,1,1,1,-0.84,-0.41,-0.82,1.86,1.39,2.81,1.17,"long",3,86.5,"no",0,14.5,0.14,0.52,0.706,0.878,3.67,0.92,7.21,183.3
8,61353428,92143936,22,2,1,1,0.34,0.07,0.29,-0.04,-0.92,-0.28,-0.67,"long",3,79.5,"no",0,8,-0.14,0.32,0.176,0.878,1.5,1.5,1.91,183.3
8,92143936,64146936,23,1,2,1,-0.84,-0.41,-0.82,1.86,1.39,2.81,1.17,"long",3,86.5,"no",0,14.5,-1,0.52,0.706,0.878,3.67,0.92,7.21,183.3
8,64146936,92143936,23,2,1,1,-1.37,-0.66,-1.33,0.38,0.84,0.82,0.43,"short",2,100.8,"yes",1,19,1,0.16,0.118,0.001,2,0.001,6.48,183.3
8,61353428,64146936,24,1,2,1,0.34,0.07,0.29,-0.04,-0.92,-0.28,-0.67,"long",3,79.5,"no",0,8,-0.43,0.32,0.176,0.878,1.5,1.5,1.91,183.3
8,64146936,61353428,24,2,2,1,-1.37,-0.66,-1.33,0.38,0.84,0.82,0.43,"short",2,100.8,"yes",1,19,0.43,0.16,0.118,0.001,2,0.001,6.48,183.3
9,92160112,64372632,25,1,1,0,1.13,1.54,1.5,-0.81,-0.85,-0.38,-0.47,"short",2,31.3,"no",0,17.5,1.14,0.29,0.389,0.609,3.29,0.94,3.72,225.3
