triad	indiv-1	indiv-2	dyad	dyad_split	individual_split	triad_recruit_source	indiv-1_recruit_source	cubicle	camera	gender	median_income	indiv_ethnicity	dyad_ethnicity_broad	dyad_ethnicity_narrow	attractiveness	style_similarity	indiv-1_interrupts_indiv-2	indiv-2_interrupts_indiv-1	common_ground	indiv-1_pd_indiv-2	indiv-2_pd_indiv-1	gameplay_profit	indiv-1_predicts_indiv-2	indiv-2_predicts_indiv-1	f1_psychopathy	f2_psychopathy	total_psychopathy
28	92110848	92190952	82	1	1	1	1	2	0	0	40.1	1	0	0	0.34	-1.37	0.52	0.00	0	1	1	12	1	0	-0.71	-0.90	-0.92
28	92190952	92110848	82	2	1	1	1	1	0	0	62.3	2	0	0	-1.35	-1.37	0.00	0.51	0	1	1	12	0	1	-0.58	0.32	-0.32
28	92110848	92136728	83	1	2	1	1	2	0	0	40.1	1	0	0	0.34	0.50	0.26	1.03	0	1	1	12	1	1	-0.71	-0.90	-0.92
28	92136728	92110848	83	2	1	1	1	3	1	0	45.7	3	0	0	-0.14	0.50	1.03	0.26	0	1	1	12	1	1	-0.71	-1.39	-1.12
28	92190952	92136728	84	1	2	1	1	1	0	0	62.3	2	0	0	-1.35	-0.39	0.52	1.55	0	1	1	12	0	1	-0.58	0.32	-0.32
28	92136728	92190952	84	2	2	1	1	3	1	0	45.7	3	0	0	-0.14	-0.39	1.55	0.51	0	1	1	12	1	0	-0.71	-1.39	-1.12
29	92128432	13270103	85	1	1	1	1	3	1	0	119.8	7	1	0	1.75	0.05	0.47	0.47	1	1	0	6	1	0	0.87	0.32	0.79
29	13270103	92128432	85	2	1	1	1	2	0	0	50.6	9	1	0	0.94	0.05	0.47	0.47	1	0	1	18	0	1	1.00	0.07	0.79
29	92128432	13268957	86	1	2	1	1	3	1	0	119.8	7	1	0	1.75	-0.48	0.24	1.18	1	1	1	6	1	1	0.87	0.32	0.79
29	13268957	92128432	86	2	1	1	1	1	0	0	68.3	1	1	0	0.94	-0.48	1.19	0.24	1	1	1	6	1	1	-0.32	0.56	-0.01
29	13270103	13268957	87	1	2	1	1	2	0	0	50.6	9	0	0	0.94	-0.48	0.47	0.95	1	0	1	18	0	1	1.00	0.07	0.79
29	13268957	13270103	87	2	2	1	1	1	0	0	68.3	1	0	0	0.94	-0.48	0.95	0.47	1	1	0	6	1	0	-0.32	0.56	-0.01
30	13239991	76161464	88	1	1	0	0	1	0	0	50.6	4	0	0	-0.99	0.23	0.25	0.49	0	1	1	6	1	1	0.60	0.80	0.79
30	76161464	13239991	88	2	1	0	0	3	1	0	51.6	2	0	0	-0.21	0.23	0.49	0.25	0	1	1	6	1	1	-0.45	-0.41	-0.52
30	13239991	92161280	89	1	2	0	0	1	0	0	50.6	4	0	0	-0.99	-0.75	0.25	0.00	0	1	0	6	1	0	0.60	0.80	0.79
30	92161280	13239991	89	2	1	0	1	2	0	0		2	0	0	-1.15	-0.75	0.00	0.25	0	0	1	18	0	1	1.26	0.80	1.30
30	76161464	92161280	90	1	2	0	0	3	1	0	51.6	2	1	1	-0.21	-0.83	0.25	0.25	0	1	0	6	1	0	-0.45	-0.41	-0.52
30	92161280	76161464	90	2	2	0	1	2	0	0		2	1	1	-1.15	-0.83	0.25	0.25	0	0	1	18	0	1	1.26	0.80	1.30
31	13235903	92189576	91	1	1	1	1	2	1	0	60.4	3	0	0	1.52	2.01	0.20	1.59	1	0	1	18	0	1	1.79	0.07	1.40
31	92189576	13235903	91	2	1	1	1	1	0	0	30.4	7	0	0	-0.05	2.01	1.59	0.20	1	1	0	6	1	0	1.00	-0.66	0.49
31	13235903	92163648	92	1	2	1	1	2	1	0	60.4	3	0	0	1.52	0.23	0.60	1.59	1	0	1	18	0	1	1.79	0.07	1.40
31	92163648	13235903	92	2	1	1	1	3	0	0	49.9	1	0	0	-0.51	0.23	1.59	0.60	1	1	0	6	1	0	-0.97	0.80	-0.42
31	92189576	92163648	93	1	2	1	1	1	0	0	30.4	7	1	0	-0.05	1.92	0.40	0.00	0	1	1	6	1	1	1.00	-0.66	0.49
31	92163648	92189576	93	2	2	1	1	3	0	0	49.9	1	1	0	-0.51	1.92	0.00	0.40	0	1	1	6	1	1	-0.97	0.80	-0.42
32	13217442	92157016	94	1	1	0	0	3	0	0	119.1	2	0	0	-0.99	-0.48	0.25	0.49	0	1	0	6	1	0	0.87	-1.88	-0.12
32	92157016	13217442	94	2	1	0	1	1	1	0	51.4	1	0	0	2.31	-0.48	0.49	0.25	0	0	1	18	0	1	0.74	0.80	0.89
32	13217442	72185024	95	1	2	0	0	3	0	0	119.1	2	1	1	-0.99	0.05	0.49	0.99	1	1	1	6	1	0	0.87	-1.88	-0.12
32	72185024	13217442	95	2	1	0	0	2	0	0	38.8	2	1	1	-1.78	0.05	0.99	0.49	1	1	1	6	0	1	-0.45	-1.88	-1.12
32	92157016	72185024	96	1	2	0	1	1	1	0	51.4	1	0	0	2.31	-0.57	0.74	0.00	0	0	1	18	0	0	0.74	0.80	0.89
32	72185024	92157016	96	2	2	0	0	2	0	0	38.8	2	0	0	-1.78	-0.57	0.00	0.74	0	1	0	6	0	0	-0.45	-1.88	-1.12
33	13245660	13212001	97	1	1	1	1	1	0	0	77.9	8	1	0	0.42	-0.48	1.62	0.61	0	0	0	12	0	0	0.08	-1.39	-0.52
33	13212001	13245660	97	2	1	1	1	3	0	0	82.3	7	1	0	0.26	-0.48	0.61	1.62	0	0	0	6	0	0	3.23	1.05	2.91
33	13245660	92164496	98	1	2	1	1	1	0	0	77.9	8	1	0	0.42	0.50	0.81	0.00	0	0	1	12	0	1	0.08	-1.39	-0.52
33	92164496	13245660	98	2	1	1	1	2	1	0	96.1	1	1	0	-0.99	0.50	0.00	0.81	0	1	0	3	1	0	0.87	0.07	0.69
33	13212001	92164496	99	1	2	1	1	3	0	0	82.3	7	1	0	0.26	-1.37	0.61	1.22	0	0	0	6	1	0	3.23	1.05	2.91
33	92164496	13212001	99	2	2	1	1	2	1	0	96.1	1	1	0	-0.99	-1.37	1.22	0.61	0	0	0	3	0	1	0.87	0.07	0.69
34	13297258	92164144	100	1	1	1	1	2	1	0	43	9	0	0	0.58	-0.21	0.27	0.00	0	1	1	12	0	1	1.00	0.56	1.00
34	92164144	13297258	100	2	1	1	1	3	0	0	70.6	2	0	0	-0.52	-0.21	0.00	0.27	0	1	1	12	1	0	-1.63	-0.90	-1.63
34	13297258	92162560	101	1	2	1	1	2	1	0	43	9	1	0	0.58	2.01	0.54	0.54	1	1	1	12	0	1	1.00	0.56	1.00
34	92162560	13297258	101	2	1	1	1	1	0	0		7	1	0	0.26	2.01	0.54	0.54	1	1	1	12	1	0	-0.71	0.07	-0.52
34	92164144	92162560	102	1	2	1	1	3	0	0	70.6	2	1	0	-0.52	0.32	0.27	0.27	1	1	1	12	1	1	-1.63	-0.90	-1.63
34	92162560	92164144	102	2	2	1	1	1	0	0		7	1	0	0.26	0.32	0.27	0.27	1	1	1	12	1	1	-0.71	0.07	-0.52
35	92169280	92161768	103	1	1	1	1	3	0	0	59.3	2	1	1	-1.62	1.74	0.54	0.36	1	0	1	15	0	0	-0.05	-0.90	-0.42
35	92161768	92169280	103	2	1	1	1	1	1	0	119.1	2	1	1	-0.68	1.74	0.36	0.54	1	1	0	6	0	0	-0.58	0.07	-0.42
35	92169280	92121600	104	1	2	1	1	3	0	0	59.3	2	0	0	-1.62	0.23	0.18	0.36	1	1	1	15	1	1	-0.05	-0.90	-0.42
35	92121600	92169280	104	2	1	1	1	2	0	0	128.9	8	0	0	-0.84	0.23	0.36	0.18	1	1	1	12	1	1	-1.10	1.05	-0.42
35	92161768	92121600	105	1	2	1	1	1	1	0	119.1	2	0	0	-0.68	0.41	0.18	0.00	1	1	1	6	1	1	-0.58	0.07	-0.42
35	92121600	92161768	105	2	2	1	1	2	0	0	128.9	8	0	0	-0.84	0.41	0.00	0.18	1	1	1	12	1	1	-1.10	1.05	-0.42
