triad	indiv-1	indiv-2	dyad	dyad_split	individual_split	triad_recruit_source	indiv-1_recruit_source	cubicle	camera	gender	median_income	indiv_ethnicity	dyad_ethnicity_broad	dyad_ethnicity_narrow	attractiveness	style_similarity	indiv-1_interrupts_indiv-2	indiv-2_interrupts_indiv-1	common_ground	indiv-1_pd_indiv-2	indiv-2_pd_indiv-1	gameplay_profit	indiv-1_predicts_indiv-2	indiv-2_predicts_indiv-1	f1_psychopathy	f2_psychopathy	total_psychopathy
7	13255890	92179896	19	2	1	1	1	2	1	1	59.2	2	1	1	-0.98	1.74	0.00	0.00	0	0	1	18	0	1	0.21	1.29	0.69
7	92179896	92195808	20	1	2	1	1	3	0	1		2	0	0	-1.40	0.32	0.27	0.26	0	1	1	6	1	1	-0.18	-0.41	-0.32
7	92195808	92179896	20	2	1	1	1	1	0	1	88.7	1	0	0	-0.14	0.32	0.27	0.26	0	1	1	6	1	1	-0.45	0.07	-0.32
7	13255890	92195808	21	1	2	1	1	2	1	1	59.2	2	0	0	-0.98	1.30	1.06	0.26	1	0	1	18	0	1	0.21	1.29	0.69
7	92195808	13255890	21	2	2	1	1	1	0	1	88.7	1	0	0	-0.14	1.30	0.27	1.06	1	1	0	6	1	0	-0.45	0.07	-0.32
8	92143936	61353428	22	1	1	0	1	2	0	1	86.5	7	1	0	1.86	-1.10	0.59	0.88	1	1	1	12	1	1	-0.84	-0.41	-0.82
8	61353428	92143936	22	2	1	0	0	1	0	1	79.5	2	1	0	-0.04	-1.10	0.88	0.58	1	1	1	12	1	1	0.34	0.07	0.29
8	92143936	64146936	23	1	2	0	1	2	0	1	86.5	7	1	0	1.86	0.05	0.29	0.00	0	1	1	12	1	0	-0.84	-0.41	-0.82
8	64146936	92143936	23	2	1	0	0	3	1	1	100.8	2	1	0	0.38	0.05	0.00	0.29	0	1	1	12	0	1	-1.37	-0.66	-1.33
8	61353428	64146936	24	1	2	0	0	1	0	1	79.5	2	1	1	-0.04	-0.75	0.00	0.00	0	1	1	12	0	0	0.34	0.07	0.29
8	64146936	61353428	24	2	2	0	0	3	1	1	100.8	2	1	1	0.38	-0.75	0.00	0.00	0	1	1	12	0	0	-1.37	-0.66	-1.33
9	92160112	64372632	25	1	1	0	1	1	0	0	31.3	3	0	0	-0.81	-1.55	0.31	0.00	0	0	1	12	0	1	1.13	1.54	1.50
9	64372632	92160112	25	2	1	0	0	3	0	0	50.7	5	0	0	-1.22	-1.55	0.00	0.31	0	1	0	0	1	0	-0.32	-1.39	-0.82
9	92160112	53373584	26	1	2	0	1	1	0	0	31.3	3	0	0	-0.81	-0.04	0.31	0.61	1	0	0	12	0	0	1.13	1.54	1.50
9	53373584	92160112	26	2	1	0	0	2	1	0	87.4	6	0	0	-0.41	-0.04	0.61	0.31	1	0	0	12	0	0	-0.05	-0.90	-0.42
9	64372632	53373584	27	1	2	0	0	3	0	0	50.7	5	0	0	-1.22	0.41	0.31	0.31	1	1	0	0	1	0	-0.32	-1.39	-0.82
9	53373584	64372632	27	2	2	0	0	2	1	0	87.4	6	0	0	-0.41	0.41	0.31	0.31	1	0	1	12	0	1	-0.05	-0.90	-0.42
10	92122800	92128600	28	1	1	1	1	1	1	1	59.2	9	0	0	0.80	-0.66	0.53	0.26	1	1	1	12	1	1	-0.32	0.07	-0.22
10	92128600	92122800	28	2	1	1	1	2	0	1	94	1	0	0	0.70	-0.66	0.27	0.53	1	1	1	12	1	1	0.08	1.67	0.71
10	92122800	92151080	29	1	2	1	1	1	1	1	59.2	9	0	0	0.80	0.67	0.00	0.00	0	1	1	12	1	0	-0.32	0.07	-0.22
10	92151080	92122800	29	2	1	1	1	3	0	1	76.6	1	0	0	0.91	0.67	0.00	0.00	0	1	1	12	0	1	-0.05	-0.66	-0.32
10	92128600	92151080	30	1	2	1	1	2	0	1	94	1	1	1	0.70	-0.30	0.00	0.26	0	1	1	12	1	1	0.08	1.67	0.71
10	92151080	92128600	30	2	2	1	1	3	0	1	76.6	1	1	1	0.91	-0.30	0.27	0.00	0	1	1	12	1	1	-0.05	-0.66	-0.32
11	92125776	13288055	31	1	1	1	1	1	1	0	120.1	1	1	1	0.53	-0.04	0.00	0.00	0	1	1	12	1	1	1.75	1.40	1.93
11	13288055	92125776	31	2	1	1	1	3	0	0	66.6	1	1	1	-0.14	-0.04	0.00	0.00	0	1	1	12	1	1	1.00	0.80	1.10
11	92125776	92190632	32	1	2	1	1	1	1	0	120.1	1	0	0	0.53	-1.28	1.18	0.59	1	1	1	12	1	1	1.75	1.40	1.93
11	92190632	92125776	32	2	1	1	1	2	0	0	64.2	2	0	0	1.64	-1.28	0.59	1.18	1	1	1	12	1	1	-1.89	-0.17	-1.53
11	13288055	92190632	33	1	2	1	1	3	0	0	66.6	1	0	0	-0.14	0.32	0.00	0.00	0	1	1	12	1	1	1.00	0.80	1.10
11	92190632	13288055	33	2	2	1	1	2	0	0	64.2	2	0	0	1.64	0.32	0.00	0.00	0	1	1	12	1	1	-1.89	-0.17	-1.53
12	92186992	92163760	34	1	1	1	1	3	1	0	64.2	1	0	0	0.26	0.59	0.29	0.58	1	1	1	12	1	1	1.65	1.05	1.70
12	92163760	92186992	34	2	1	1	1	1	0	0	102	2	0	0	0.53	0.59	0.59	0.29	1	1	1	12	1	1	0.47	1.29	0.89
12	92186992	92115432	35	1	2	1	1	3	1	0	64.2	1	1	0	0.26	1.12	0.00	0.00	1	1	1	12	1	1	1.65	1.05	1.70
12	92115432	92186992	35	2	1	1	1	2	0	0	68.9	7	1	0	-0.14	1.12	0.00	0.00	1	1	1	12	1	1	-0.45	0.07	-0.32
12	92163760	92115432	36	1	2	1	1	1	0	0	102	2	1	0	0.53	-0.04	0.00	0.00	1	1	1	12	0	1	0.47	1.29	0.89
12	92115432	92163760	36	2	2	1	1	2	0	0	68.9	7	1	0	-0.14	-0.04	0.00	0.00	1	1	1	12	1	0	-0.45	0.07	-0.32
13	92197600	92150160	37	1	1	1	1	3	0	1	73.9	2	0	0	-0.67	1.30	0.00	0.24	0	1	1	6	1	1	0.87	0.56	0.89
13	92150160	92197600	37	2	1	1	1	2	1	1	82.2	1	0	0	0.38	1.30	0.24	0.00	0	1	1	6	1	1	-0.58	-1.63	-1.12
13	92197600	13226912	38	1	2	1	1	3	0	1	73.9	2	1	1	-0.67	-1.19	0.95	0.24	1	1	0	6	1	0	0.87	0.56	0.89
13	13226912	92197600	38	2	1	1	1	1	0	1	102	2	1	1	0.91	-1.19	0.24	0.95	1	0	1	18	0	1	0.87	-0.17	0.59
13	92150160	13226912	39	1	2	1	1	2	1	1	82.2	1	0	0	0.38	-2.17	0.00	0.71	0	1	0	6	1	0	-0.58	-1.63	-1.12
13	13226912	92150160	39	2	2	1	1	1	0	1	102	2	0	0	0.91	-2.17	0.71	0.00	0	0	1	18	0	1	0.87	-0.17	0.59
14	13267876	92113840	40	1	1	1	1	1	0	0	93.9	1	1	1	0.40	-0.21	0.00	0.29	0	0	0	12	0	0	-0.05	0.32	0.09
14	92113840	13267876	40	2	1	1	1	3	0	0	64.6	1	1	1	0.26	-0.21	0.29	0.00	0	0	0	9	0	0	-0.11	-2.12	-0.89
14	13267876	92141600	41	1	2	1	1	1	0	0	93.9	1	0	0	0.40	-0.39	0.29	0.00	0	0	1	12	0	1	-0.05	0.32	0.09
14	92141600	13267876	41	2	1	1	1	2	1	0	64.5	2	0	0	-0.41	-0.39	0.00	0.29	0	1	0	6	1	0	-1.23	0.56	-0.72
14	92113840	92141600	42	1	2	1	1	3	0	0	64.6	1	0	0	0.26	0.50	0.57	0.00	1	1	1	9	1	1	-0.11	-2.12	-0.89
14	92141600	92113840	42	2	2	1	1	2	1	0	64.5	2	0	0	-0.41	0.50	0.00	0.57	1	1	1	6	1	1	-1.23	0.56	-0.72
15	92180480	92181552	43	1	1	1	1	2	1	1	87.1	2	0	0	0.59	0.59	0.00	0.24	1	1	1	6	1	1	-0.35	0.32	-0.17
15	92181552	92180480	43	2	1	1	1	1	0	1	100.8	1	0	0	-0.46	0.59	0.24	0.00	1	1	1	6	1	1	-0.45	-0.17	-0.42
15	92180480	92153712	44	1	2	1	1	2	1	1	87.1	2	0	0	0.59	-1.10	0.24	0.24	1	1	0	6	1	0	-0.35	0.32	-0.17
15	92153712	92180480	44	2	1	1	1	3	0	1	55.5	3	0	0	0.59	-1.10	0.24	0.24	1	0	1	18	0	1	-0.18	-0.41	-0.32
15	92181552	92153712	45	1	2	1	1	1	0	1	100.8	1	0	0	-0.46	0.14	0.00	0.00	1	1	0	6	1	0	-0.45	-0.17	-0.42
15	92153712	92181552	45	2	2	1	1	3	0	1	55.5	3	0	0	0.59	0.14	0.00	0.00	1	0	1	18	0	1	-0.18	-0.41	-0.32
16	13254299	92156000	46	1	1	1	1	3	1	1	56.9	1	1	1	0.17	0.32	0.27	0.27	1	1	0	6	0	0	1.79	3.24	2.71
16	92156000	13254299	46	2	1	1	1	2	0	1	95.6	1	1	1	-0.14	0.32	0.27	0.27	1	0	1	15	0	0	0.08	1.29	0.59
16	13254299	92138096	47	1	2	1	1	3	1	1	56.9	1	1	0	0.17	0.14	0.27	0.27	1	1	1	6	1	1	1.79	3.24	2.71
16	92138096	13254299	47	2	1	1	1	1	0	1	120.1	7	1	0	0.70	0.14	0.27	0.27	1	1	1	12	1	1	0.74	2.51	1.60
16	92156000	92138096	48	1	2	1	1	2	0	1	95.6	1	1	0	-0.14	-1.10	0.27	0.27	1	1	1	15	0	1	0.08	1.29	0.59
16	92138096	92156000	48	2	2	1	1	1	0	1	120.1	7	1	0	0.70	-1.10	0.27	0.27	1	1	1	12	1	0	0.74	2.51	1.60
17	92147368	92163304	49	1	1	1	1	3	0	1	98.5	1	0	0	0.59	0.59	0.00	0.00	0	1	0	6	1	0	-0.45	1.05	0.09
17	92163304	92147368	49	2	1	1	1	1	0	1	63.5	2	0	0	2.32	0.59	0.00	0.00	0	0	1	12	0	1	-1.50	-0.90	-1.53
17	92147368	92115344	50	1	2	1	1	3	0	1	98.5	1	1	0	0.59	1.39	0.22	0.00	0	1	1	6	0	1	-0.45	1.05	0.09
17	92115344	92147368	50	2	1	1	1	2	1	1	54.2	8	1	0	0.17	1.39	0.00	0.22	0	1	1	9	1	0	-1.10	-0.90	-1.23
17	92163304	92115344	51	1	2	1	1	1	0	1	63.5	2	0	0	2.32	1.21	0.00	0.00	1	0	0	12	0	0	-1.50	-0.90	-1.53
17	92115344	92163304	51	2	2	1	1	2	1	1	54.2	8	0	0	0.17	1.21	0.00	0.00	1	0	0	9	0	0	-1.10	-0.90	-1.23
18	92196760	13222577	52	1	1	1	1	1	0	1	86.5	2	0	0	0.91	-0.57	1.11	0.83	1	1	0	6	1	1	-0.71	-0.41	-0.72
18	13222577	92196760	52	2	1	1	1	2	0	1	40.6	4	0	0	0.07	-0.57	0.83	1.11	1	0	1	15	1	1	-0.05	0.56	0.19
