;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Average estimates (g) for each of the presented weight;;;;;;;;;;;Results of linear fit: estimated weights vs. presented weights;;;;;;;
;Height (cm);BIAS;CV;RMS;RATIO;100;;200;;300;;400;;Total Average Estimate (g);Average Absolute Bias (g);;Intercept;Slope;Cint low;C int High;Adj R2;;Age (years);Gender (1=M)
;;;;;;Mean;SE;Mean;SE;Mean;SE;Mean;SE;;;;;;;;;;;
8YO_S1;136;0,243310501;0,407430976;0,474552421;1,674530995;190;48,08846015;130;28,50438563;270;67,54628043;370;51,84110338;240;55;;70;0,68;0,303264954;1,056735046;0,316463415;;8;0
8YO_S2;134;0,197989899;0,317804972;0,374432905;1,605157504;100;43,30127019;160;32,59601203;210;48,08846015;410;32,59601203;220;35;;-25;0,98;0,683119847;1,276880153;0,62573178;;8;1
8YO_S3;136;0,329241553;0,414728827;0,529528092;1,259649105;170;28,50438563;220;51,84110338;370;28,50438563;270;80,23403268;257,5;72,5;;145;0,45;0,057328283;0,842671717;0,134360038;;8;1
8YO_S4;124;0,607618301;0,530094331;0,8063498;0,872413372;370;51,84110338;230;62,74950199;190;48,08846015;320;92,87087811;277,5;122,5;;325;-0,19;-0,689478553;0,309478553;-0,030641822;;8;0
8YO_S5;141;0,162480768;0,408656335;0,439772669;2,515105878;100;43,30127019;190;51,23475383;290;57,00877125;320;51,84110338;225;25;;35;0,76;0,419899476;1,100100524;0,424514436;;8;0
8YO_S6;120;0,376297754;0,427784993;0,569736781;1,136825792;250;72,88689869;300;77,05517504;280;13,69306394;450;0;320;80;;175;0,58;0,198418438;0,961581562;0,2383922;;8;1
8YO_S7;136;0,383144881;0,46260134;0,600666297;1,20737967;250;68,46531969;260;64,71089553;210;44,72135955;350;50;267,5;87,5;;205;0,25;-0,159335337;0,659335337;0,006361124;;8;1
8YO_S8;129;0,202977831;0,401248053;0,449666543;1,976807272;120;37,91437722;270;67,54628043;370;45,41475531;410;44,72135955;292,5;42,5;;50;0,97;0,626916296;1,313083704;0,5480131;;7;0
8YO_S9;137;0,327414111;0,394968353;0,513030214;1,206326606;80;33,54101966;180;67,54628043;140;62,24949799;420;13,69306394;205;55;;-40;0,98;0,57176805;1,38823195;0,462194984;;8;1
8YO_S10;120;0,306594194;0,529150262;0,611555394;1,725897855;180;85,87782019;190;69,37218463;410;44,72135955;330;57,55432217;277,5;67,5;;1,10E+02;0,67;0,182847791;1,157152209;0,197901994;;8;0
8YO_S11;133;0,274226184;0,266458252;0,382361086;0,971673266;190;20,91650066;190;48,08846015;250;25;310;32,59601203;235;60;;130;0,42;0,19405359;0,64594641;0,330751498;;8;1
8YO_S12;127;0,405462699;0,481663783;0,62960305;1,187936115;150;53,03300859;310;67,08203932;180;51,84110338;290;67,08203932;232,5;97,5;;160;0,29;-0,161707945;0,741707945;0,012443083;;8;1
8YO_S13;134;0,269814751;0,457165178;0,530848378;1,694366879;160;57,00877125;90;32,59601203;260;54,19870847;370;76,23975341;220;60;;20;0,8;0,373672626;1,226327374;0,335390947;;8;1
8YO_S14;124;0,216333077;0,607453702;0,644825558;2,807955731;140;67,08203932;140;44,72135955;290;99,05806378;320;82,15838363;222,5;47,5;;50;0,69;0,180586533;1,199413467;0,192067012;;8;0
8YO_S15;135;0,44855323;0,515751878;0,6835203;1,149811982;250;58,630197;260;67,08203932;190;32,59601203;290;87,32124598;247,5;107,5;;235;0,05;-0,391534048;0,491534048;-0,053299131;;8;0
8YO_S16;134;0,431740663;0,228035085;0,488262225;0,528176066;260;20,91650066;330;28,50438563;340;32,59601203;350;30,61862178;320;95;;250;0,28;0,084153997;0,475846003;0,213131313;;8;0
8YO_S17;132;0,272763634;0,334664011;0,431740663;1,226937791;190;41,07919181;300;43,30127019;290;54,19870847;420;22,36067977;300;55;;130;0,68;0,385946803;0,974053197;0,442494331;;8;1
8YO_S18;123;0,163707055;0,537587202;0,561960853;3,283836489;90;44,72135955;150;84,77912479;260;62,24949799;350;70,71067812;212,5;37,5;;-10;0,89;0,448768735;1,331231265;0,371573719;;8;0
8YO_S19;127;0,33286634;0,503984127;0,603986755;1,514073569;190;83,66600265;340;69,37218463;300;55,90169944;400;30,61862178;307,5;57,5;;160;0,59;0,154101491;1,025898509;0,191794757;;8;0
